GENE	EVENT	AS_TYPE	dPSI_TAF2	dPSI_TAF2dIDR	direction_TAF2	direction_TAF2dIDR
RNPC3	HsaALTD1040232-1/3	Alt. Donor	16.189999999999998	8.61	UP	NONE
MIR22HG	HsaALTD1040457-1/2	Alt. Donor	15.940000000000001	19.24	UP	UP
CYHR1	HsaALTD1040891-2/3	Alt. Donor	27.159999999999997	24.090000000000003	UP	UP
C11orf95	HsaALTD1040934-1/2	Alt. Donor	15.87	7.01	UP	NONE
NOC2L	HsaALTD1041176-3/3	Alt. Donor	23.66	20.26	UP	UP
PAX8-AS1	HsaALTD1041243-1/2	Alt. Donor	20.679999999999993	-8.39	UP	NONE
MYL6B	HsaALTD1041552-1/2	Alt. Donor	16.200000000000003	13.820000000000007	UP	NONE
COL27A1	HsaALTD1041808-1/2	Alt. Donor	16.75999999999999	14.539999999999992	UP	NONE
ITSN2	HsaALTD1042796-1/2	Alt. Donor	21.560000000000002	16.009999999999998	UP	UP
MROH6	HsaALTD1043771-2/2	Alt. Donor	19.380000000000003	13.4	UP	NONE
TMX2	HsaALTD1044251-1/2	Alt. Donor	15.12	17.630000000000003	UP	UP
NUTM2B-AS1	HsaALTD1044991-2/2	Alt. Donor	15.740000000000009	7.160000000000011	UP	NONE
RP4-635E18.6	HsaALTD1045575-2/4	Alt. Donor	39.94	27.4	UP	UP
PCAT7	HsaALTD1045753-2/3	Alt. Donor	24.299999999999997	3.5999999999999943	UP	NONE
AC008440.10	HsaALTD1045817-2/2	Alt. Donor	17.619999999999997	3.3299999999999983	UP	NONE
RP11-108M9.4	HsaALTD1046533-3/3	Alt. Donor	23.150000000000006	11.990000000000009	UP	NONE
MYLK-AS1	HsaALTD1046568-1/2	Alt. Donor	28.39	-1.8599999999999994	UP	NONE
LINC00969	HsaALTD1046751-3/4	Alt. Donor	18.78	7.109999999999999	UP	NONE
CDK3	HsaALTD1047456-5/9	Alt. Donor	18	14.519999999999996	UP	NONE
ALG1L2	HsaALTD1047534-2/2	Alt. Donor	78.05	33.33	UP	UP
FLJ20021	HsaALTD1047805-1/2	Alt. Donor	16.32	3.039999999999999	UP	NONE
MIR193BHG	HsaALTD1048800-1/2	Alt. Donor	16.730000000000004	-3.1600000000000037	UP	NONE
BAHCC1	HsaALTD1049041-1/4	Alt. Donor	15.38	4.91	UP	NONE
RP11-242D8.1	HsaALTD1049107-4/4	Alt. Donor	15.279999999999998	1.6100000000000003	UP	NONE
bP-21264C1.2	HsaALTD1049857-2/3	Alt. Donor	17.46999999999999	20.160000000000004	UP	UP
ARL5A	HsaALTD1050354-2/2	Alt. Donor	15.430000000000007	-6.409999999999997	UP	NONE
CGGBP1	HsaALTD1050678-3/5	Alt. Donor	25	18.27	UP	UP
FBXO43	HsaALTD1051196-1/2	Alt. Donor	21.38	21.330000000000002	UP	UP
FTH1	HsaALTD1051250-2/3	Alt. Donor	28.560000000000002	9.459999999999999	UP	NONE
IQCH-AS1	HsaALTD1051541-2/2	Alt. Donor	16.78	5.8799999999999955	UP	NONE
LINC01446	HsaALTD1051745-2/2	Alt. Donor	32.35	32.35	UP	UP
ME3	HsaALTD1051885-1/3	Alt. Donor	22.370000000000005	13.700000000000003	UP	NONE
MYL6B	HsaALTD1052012-2/11	Alt. Donor	16.86	5.32	UP	NONE
PIH1D1	HsaALTD1052278-1/3	Alt. Donor	18.630000000000003	5.410000000000004	UP	NONE
PRKD2	HsaALTD1052377-2/2	Alt. Donor	20.54999999999999	10.499999999999993	UP	NONE
PRRT1	HsaALTD1052389-3/3	Alt. Donor	20.83	18.659999999999997	UP	UP
RCBTB1	HsaALTD1052486-1/2	Alt. Donor	25.28	25.16	UP	UP
RP11-21L23.3	HsaALTD1052643-1/3	Alt. Donor	15.840000000000003	19.790000000000006	UP	UP
RP11-521B24.3	HsaALTD1052775-1/3	Alt. Donor	17.86	11.43	UP	NONE
RP11-76C10.5	HsaALTD1052854-2/3	Alt. Donor	15.589999999999996	5.829999999999998	UP	NONE
RPS4X	HsaALTD1052990-9/9	Alt. Donor	15.370000000000005	-1.009999999999998	UP	NONE
SPATA2L	HsaALTD1053224-3/4	Alt. Donor	22	-2.7300000000000004	UP	NONE
ZC3H4	HsaALTD1053720-2/2	Alt. Donor	31.25	31.25	UP	UP
ZFP62	HsaALTD1053739-4/4	Alt. Donor	16.659999999999997	15.850000000000001	UP	UP
ZNF532	HsaALTD1053802-3/3	Alt. Donor	26.41	11.59	UP	NONE
ZNF594	HsaALTD1053809-1/2	Alt. Donor	18.520000000000003	-9.45	UP	NONE
PTGR2	HsaALTD1054037-2/2	Alt. Donor	16.200000000000003	-9.43	UP	NONE
GUSBP11	HsaALTD1054282-1/2	Alt. Donor	15.589999999999996	4.5	UP	NONE
BMS1P4	HsaALTD1054368-1/5	Alt. Donor	17.41	-4.800000000000001	UP	NONE
NA	HsaEX0001238	Exon	16.370000000000005	-3	UP	NONE
PCBP1-AS1	HsaEX0001613	Exon	18.990000000000002	8.79	UP	NONE
ACAD10	HsaEX0001737	Exon	17.519999999999996	11.539999999999992	UP	NONE
ACAD10	HsaEX0001744	Exon	21.75	12.310000000000002	UP	NONE
ACBD6	HsaEX0001847	Exon	19.259999999999998	30.229999999999997	UP	UP
ADAM11	HsaEX0002277	Exon	18.14999999999999	13.099999999999994	UP	NONE
ADAP2	HsaEX0002617	Exon	15.790000000000006	15.790000000000006	UP	UP
ANKMY1	HsaEX0004243	Exon	25.599999999999994	10.810000000000002	UP	NONE
ANKRD33B	HsaEX0004471	Exon	26.909999999999997	1.3799999999999955	UP	NONE
ARHGAP12	HsaEX0005406	Exon	15.130000000000003	7.710000000000001	UP	NONE
ARHGAP32	HsaEX0005500	Exon	17.869999999999997	-6.810000000000002	UP	NONE
ARMC2	HsaEX0005903	Exon	17.83	9.430000000000007	UP	NONE
ARMC4	HsaEX0005922	Exon	23.669999999999995	19.580000000000005	UP	UP
ARVCF	HsaEX0006128	Exon	26.11	25.659999999999997	UP	UP
ATAD2B	HsaEX0006440	Exon	18.11	2.7200000000000006	UP	NONE
ATP9B	HsaEX0007140	Exon	17.189999999999998	12.030000000000001	UP	NONE
ATP9B	HsaEX0007144	Exon	17.379999999999995	22.36	UP	UP
ATXN1	HsaEX0007241	Exon	17.39	17.39	UP	UP
ATXN7L1	HsaEX0007298	Exon	33.33	15.56	UP	UP
BAZ2B	HsaEX0007738	Exon	16.949999999999996	6.43	UP	NONE
BAZ2B	HsaEX0007739	Exon	16.910000000000004	3.509999999999998	UP	NONE
TSPOAP1	HsaEX0008756	Exon	15.999999999999998	21.240000000000002	UP	UP
C15orf52	HsaEX0009594	Exon	22.090000000000003	13.019999999999996	UP	NONE
UNKL	HsaEX0009604	Exon	15.13000000000001	14.040000000000006	UP	NONE
CLUHP3	HsaEX0009678	Exon	16.699999999999996	14.309999999999995	UP	NONE
C1RL	HsaEX0010064	Exon	18.200000000000003	19.159999999999997	UP	UP
C21orf2	HsaEX0010540	Exon	50.769999999999996	19.560000000000002	UP	UP
CLHC1	HsaEX0010746	Exon	19.430000000000003	8.7	UP	NONE
CLHC1	HsaEX0010747	Exon	16.909999999999997	3.6599999999999966	UP	NONE
C3orf18	HsaEX0010853	Exon	19.47	6.019999999999996	UP	NONE
C3orf33	HsaEX0010908	Exon	17.14	9.519999999999996	UP	NONE
C4orf36	HsaEX0011042	Exon	25.810000000000002	4.760000000000005	UP	NONE
COA1	HsaEX0011453	Exon	25.64	11.130000000000003	UP	NONE
FAM221A	HsaEX0011460	Exon	23.229999999999997	11.030000000000008	UP	NONE
MROH6	HsaEX0011560	Exon	24.450000000000003	-3.729999999999997	UP	NONE
C9orf3	HsaEX0011649	Exon	17.099999999999994	5.030000000000001	UP	NONE
CAPRIN2	HsaEX0012408	Exon	19.959999999999994	6.349999999999994	UP	NONE
CARD8	HsaEX0012454	Exon	19.85	8.029999999999994	UP	NONE
CCDC150	HsaEX0013089	Exon	15.349999999999994	16.909999999999997	UP	UP
CCDC18	HsaEX0013160	Exon	15.099999999999998	2.049999999999997	UP	NONE
CCDC57	HsaEX0013334	Exon	15.230000000000004	11.150000000000006	UP	NONE
CD44	HsaEX0013859	Exon	19.020000000000003	27.130000000000003	UP	UP
CDKN2B-AS1	HsaEX0014404	Exon	27.989999999999995	40.44	UP	UP
COL25A1	HsaEX0016470	Exon	21.83	9.189999999999998	UP	NONE
COL27A1	HsaEX0016502	Exon	18.070000000000007	10.200000000000003	UP	NONE
CORO6	HsaEX0016877	Exon	19.24000000000001	24.230000000000004	UP	UP
CORO6	HsaEX0016880	Exon	17.400000000000006	17.400000000000006	UP	UP
CTTNBP2	HsaEX0017953	Exon	26.53	18.150000000000006	UP	UP
CTTNBP2	HsaEX0017957	Exon	21.620000000000005	1.6200000000000045	UP	NONE
CXXC4	HsaEX0018121	Exon	15.280000000000001	8.670000000000002	UP	NONE
DDHD2	HsaEX0018836	Exon	17.86	-1.9300000000000068	UP	NONE
DDX58	HsaEX0019004	Exon	18.560000000000002	18.560000000000002	UP	UP
DDX58	HsaEX0019006	Exon	18.790000000000006	18.790000000000006	UP	UP
DENND1B	HsaEX0019116	Exon	20.68	-18.699999999999996	UP	DOWN
DENND4A	HsaEX0019178	Exon	15.379999999999995	0.5699999999999932	UP	NONE
DGKQ	HsaEX0019468	Exon	17.24	5.49	UP	NONE
DHRS12	HsaEX0019522	Exon	17.700000000000003	8.350000000000009	UP	NONE
DOPEY1	HsaEX0020727	Exon	27.900000000000006	5.13000000000001	UP	NONE
EEF1D	HsaEX0021625	Exon	17.950000000000003	2.33	UP	NONE
EML5	HsaEX0022375	Exon	17.590000000000003	18.89	UP	UP
FAM103A1	HsaEX0023732	Exon	15.74	20.08	UP	UP
FAM120C	HsaEX0023878	Exon	15.11	10.299999999999997	UP	NONE
FAM131A	HsaEX0023945	Exon	17.379999999999995	-0.10999999999999943	UP	NONE
FAM81A	HsaEX0024644	Exon	22.890000000000008	13.800000000000004	UP	NONE
FBF1	HsaEX0024980	Exon	17.6	15.38	UP	UP
FBXO44	HsaEX0025339	Exon	23.09	4.5600000000000005	UP	NONE
FCHSD1	HsaEX0025442	Exon	18.659999999999997	4.329999999999998	UP	NONE
FKRP	HsaEX0025866	Exon	27.369999999999997	17.68	UP	UP
FKTN	HsaEX0025875	Exon	24.180000000000007	20.909999999999997	UP	UP
FRYL	HsaEX0026476	Exon	20.35	7.039999999999999	UP	NONE
GABRE	HsaEX0026806	Exon	19.08	12.689999999999998	UP	NONE
GANC	HsaEX0027005	Exon	17.319999999999993	17.319999999999993	UP	UP
GMIP	HsaEX0027788	Exon	16.119999999999997	21.069999999999993	UP	UP
GNAS-AS1	HsaEX0027842	Exon	22.17	15.79	UP	UP
GPC2	HsaEX0028144	Exon	27.730000000000004	21.28	UP	UP
ADGRA2	HsaEX0028262	Exon	19.86	18.260000000000005	UP	UP
GRTP1	HsaEX0028782	Exon	17.090000000000003	12.480000000000004	UP	NONE
GTPBP1	HsaEX0029023	Exon	24.489999999999995	18.86	UP	UP
HIVEP3	HsaEX0030068	Exon	16.65	33.24999999999999	UP	UP
HOXC4	HsaEX0030376	Exon	16.099999999999998	18.2	UP	UP
HSD17B14	HsaEX0030533	Exon	21.71	11.419999999999995	UP	NONE
IDUA	HsaEX0030916	Exon	19.189999999999998	13.629999999999995	UP	NONE
IFT88	HsaEX0031113	Exon	18.900000000000006	18.900000000000006	UP	UP
IFT88	HsaEX0031114	Exon	24.180000000000007	24.180000000000007	UP	UP
IGSF1	HsaEX0031175	Exon	15.239999999999995	20.72	UP	UP
IL6R	HsaEX0031511	Exon	19.769999999999996	16.659999999999997	UP	UP
INTS6	HsaEX0031916	Exon	17.580000000000002	-3.21	UP	NONE
ISL2	HsaEX0032262	Exon	19.749999999999993	18.479999999999997	UP	UP
ITGA6	HsaEX0032370	Exon	15.989999999999995	0.4299999999999997	UP	NONE
KCNC4	HsaEX0032957	Exon	26.64999999999999	28.33	UP	UP
MFSD4B	HsaEX0034317	Exon	16.590000000000003	12.829999999999998	UP	NONE
KREMEN1	HsaEX0035017	Exon	31.58	31.58	UP	UP
LCORL	HsaEX0035530	Exon	30.900000000000006	25.400000000000006	UP	UP
LRRC1	HsaEX0036495	Exon	22.730000000000004	16.210000000000008	UP	UP
CARMIL1	HsaEX0036511	Exon	16.060000000000002	4.090000000000003	UP	NONE
LRRC20	HsaEX0036540	Exon	17.569999999999993	3.719999999999999	UP	NONE
LRRC23	HsaEX0036546	Exon	17.83	23.939999999999998	UP	UP
LRRC37B	HsaEX0036591	Exon	20.809999999999995	14.21	UP	NONE
LRRC37B	HsaEX0036592	Exon	27.769999999999996	15.730000000000004	UP	UP
LRRC8B	HsaEX0036702	Exon	16.169999999999998	12.84	UP	NONE
LRRFIP1	HsaEX0036739	Exon	24.330000000000002	13.679999999999996	UP	NONE
MAMLD1	HsaEX0037346	Exon	16.220000000000006	18.240000000000002	UP	UP
MARCH1	HsaEX0037862	Exon	16.730000000000004	4.420000000000002	UP	NONE
MOV10L1	HsaEX0039874	Exon	20.560000000000002	21.049999999999997	UP	UP
MPHOSPH9	HsaEX0039927	Exon	18.319999999999993	6.639999999999986	UP	NONE
MPV17L	HsaEX0040037	Exon	15.060000000000002	29.330000000000005	UP	UP
MTMR11	HsaEX0040567	Exon	18.239999999999995	1.019999999999996	UP	NONE
MTMR11	HsaEX0040570	Exon	23.61	12.900000000000006	UP	NONE
MTMR11	HsaEX0040571	Exon	36.98	22.15	UP	UP
MTRF1	HsaEX0040712	Exon	15.18	0.5699999999999994	UP	NONE
N4BP2	HsaEX0041427	Exon	20.78	2.6400000000000006	UP	NONE
NAV1	HsaEX0041743	Exon	38.46	0	UP	NONE
NAV2	HsaEX0041755	Exon	27.87	13.39	UP	NONE
NCF2	HsaEX0041993	Exon	18.47	19.569999999999993	UP	UP
NCF2	HsaEX0041994	Exon	21.25999999999999	27.909999999999997	UP	UP
NCK2	HsaEX0042005	Exon	16.119999999999997	28.35	UP	UP
NCOA1	HsaEX0042045	Exon	15.829999999999998	-13.400000000000006	UP	NONE
NIN	HsaEX0042916	Exon	15.39	3.799999999999997	UP	NONE
NOTUM	HsaEX0043424	Exon	40	22.349999999999994	UP	UP
NPAS2	HsaEX0043470	Exon	19.78	-1.6200000000000045	UP	NONE
TENM3	HsaEX0044642	Exon	16.070000000000004	-3.25	UP	NONE
PAPPA	HsaEX0045458	Exon	17.97	16.409999999999997	UP	UP
PBX4	HsaEX0045761	Exon	39.13	12.100000000000001	UP	NONE
PDE4D	HsaEX0046227	Exon	16.210000000000008	13.430000000000007	UP	NONE
PFKM	HsaEX0046753	Exon	15.620000000000001	8.629999999999999	UP	NONE
PLA2G4C	HsaEX0047946	Exon	18.659999999999997	6.700000000000003	UP	NONE
PODNL1	HsaEX0048803	Exon	23.51	3.25	UP	NONE
POLN	HsaEX0048992	Exon	17.490000000000002	15.479999999999999	UP	UP
POLN	HsaEX0048996	Exon	16.14	-0.35999999999999943	UP	NONE
POLN	HsaEX0048998	Exon	17.169999999999998	1.9000000000000021	UP	NONE
POLN	HsaEX0048999	Exon	20.139999999999997	23.99	UP	UP
PPP1R12B	HsaEX0049579	Exon	21.22	21.22	UP	UP
PPP1R12B	HsaEX0049580	Exon	17.590000000000003	17.590000000000003	UP	UP
PRDM5	HsaEX0049952	Exon	35.870000000000005	18.070000000000007	UP	UP
RALGPS1	HsaEX0052085	Exon	15.209999999999994	15.209999999999994	UP	UP
RAPGEF6	HsaEX0052293	Exon	20.33	18.760000000000005	UP	UP
RBM12B	HsaEX0052618	Exon	17.769999999999996	7.699999999999996	UP	NONE
RBPMS	HsaEX0052819	Exon	18.180000000000007	18.180000000000007	UP	UP
RCBTB2	HsaEX0052871	Exon	22.319999999999993	13.579999999999998	UP	NONE
REL	HsaEX0053013	Exon	24.36999999999999	12.689999999999998	UP	NONE
LINC01270	HsaEX0054588	Exon	20.610000000000003	16.459999999999997	UP	UP
KIF9-AS1	HsaEX0054849	Exon	16.189999999999998	15.679999999999993	UP	UP
FIRRE	HsaEX0054864	Exon	16.47	8.429999999999993	UP	NONE
FIRRE	HsaEX0054866	Exon	27.000000000000004	20.169999999999998	UP	UP
RP11-69E11.4	HsaEX0055118	Exon	28.110000000000003	15.029999999999998	UP	UP
SUCLG2-AS1	HsaEX0055157	Exon	16.46	23.03	UP	UP
ZNF337-AS1	HsaEX0055282	Exon	17.590000000000003	19.680000000000007	UP	UP
SCNN1D	HsaEX0056605	Exon	16.67	-0.9199999999999999	UP	NONE
SDCCAG8	HsaEX0056740	Exon	16.980000000000004	16.209999999999994	UP	UP
SENP7	HsaEX0057234	Exon	17.099999999999994	8.739999999999995	UP	NONE
SENP7	HsaEX0057235	Exon	22.15	2.1400000000000006	UP	NONE
SFI1	HsaEX0057591	Exon	17.639999999999993	22.509999999999998	UP	UP
SGIP1	HsaEX0057789	Exon	17.74	17.79	UP	UP
SH3BP1	HsaEX0057951	Exon	21.629999999999995	5.739999999999995	UP	NONE
SIPA1L2	HsaEX0058401	Exon	16.439999999999998	11.97	UP	NONE
SLC24A1	HsaEX0058942	Exon	15.819999999999993	10.280000000000001	UP	NONE
SLC47A1	HsaEX0059758	Exon	17.650000000000006	14.080000000000013	UP	NONE
SLC9A5	HsaEX0060046	Exon	16.450000000000003	-8.689999999999998	UP	NONE
SMTN	HsaEX0060535	Exon	16.53	16.88000000000001	UP	UP
SORBS2	HsaEX0060986	Exon	22.18	6.920000000000002	UP	NONE
SPTLC3	HsaEX0061606	Exon	57.33	11.14	UP	NONE
SPTLC3	HsaEX0061607	Exon	56.6	6.600000000000001	UP	NONE
SRGAP1	HsaEX0061697	Exon	16.67	4.450000000000003	UP	NONE
SSBP2	HsaEX0061834	Exon	25.64	7.1200000000000045	UP	NONE
SSBP2	HsaEX0061835	Exon	19.58	21.019999999999996	UP	UP
ST6GAL1	HsaEX0062017	Exon	18.700000000000003	12.980000000000004	UP	NONE
STAMBP	HsaEX0062235	Exon	24.54	21.04	UP	UP
STK33	HsaEX0062508	Exon	20.949999999999996	5.009999999999998	UP	NONE
STOX2	HsaEX0062596	Exon	21.080000000000005	1.490000000000002	UP	NONE
SYT7	HsaEX0063284	Exon	18.319999999999993	3.029999999999987	UP	NONE
TAF1A	HsaEX0063438	Exon	16.430000000000007	11.620000000000005	UP	NONE
TEX9	HsaEX0064579	Exon	21.65	14.949999999999996	UP	NONE
TLR4	HsaEX0065160	Exon	19.660000000000004	3.9299999999999997	UP	NONE
TMEM182	HsaEX0065630	Exon	17.200000000000003	18.08	UP	UP
TRADD	HsaEX0066788	Exon	16.629999999999995	2.5900000000000034	UP	NONE
TRPC1	HsaEX0067368	Exon	18.459999999999994	12.689999999999998	UP	NONE
TTBK2	HsaEX0067729	Exon	17.03	15.320000000000007	UP	UP
TTC23	HsaEX0067855	Exon	15.320000000000007	36.36	UP	UP
ULK4	HsaEX0069288	Exon	17.650000000000006	11.940000000000012	UP	NONE
USH1C	HsaEX0069548	Exon	16.91	3.3600000000000003	UP	NONE
VIPR1	HsaEX0070368	Exon	15.379999999999995	5.140000000000001	UP	NONE
WBSCR27	HsaEX0070880	Exon	23.739999999999995	13.099999999999994	UP	NONE
WDR27	HsaEX0071046	Exon	21.96	9.350000000000001	UP	NONE
ZBTB34	HsaEX0072136	Exon	16.509999999999998	-4.0600000000000005	UP	NONE
ZBTB49	HsaEX0072191	Exon	17.89	19.319999999999993	UP	UP
ZNF107	HsaEX0073002	Exon	17.12	11.98	UP	NONE
ZNF133	HsaEX0073026	Exon	22.270000000000003	15.79	UP	UP
ZNF17	HsaEX0073100	Exon	27.869999999999997	38.00000000000001	UP	UP
ZNF283	HsaEX0073353	Exon	21.3	19.33	UP	UP
ZNF311	HsaEX0073392	Exon	16.909999999999997	20.83	UP	UP
ZNF518A	HsaEX0073842	Exon	19.069999999999993	5.3799999999999955	UP	NONE
ZNF559	HsaEX0073931	Exon	25.209999999999994	13.339999999999996	UP	NONE
ZNF573	HsaEX0073977	Exon	26.840000000000003	-1.4100000000000001	UP	NONE
ZNF573	HsaEX0073984	Exon	16.409999999999997	0.48999999999999844	UP	NONE
ZNF708	HsaEX0074239	Exon	23.10000000000001	18.930000000000007	UP	UP
ZNF783	HsaEX0074358	Exon	28.91	8.370000000000001	UP	NONE
ZNF821	HsaEX0074409	Exon	16.760000000000005	10.86	UP	NONE
ZNF821	HsaEX0074411	Exon	30.82	28.410000000000004	UP	UP
ZSCAN21	HsaEX0074565	Exon	18.650000000000006	-1.5399999999999991	UP	NONE
NA	HsaEX1000645	Exon	27.060000000000002	36.559999999999995	UP	UP
ABC13-47488600E17.1	HsaEX1001262	Exon	28.57	16.450000000000003	UP	UP
ARHGAP27P1-BPTFP1-KPNA2P3	HsaEX1004490	Exon	19.53	21.230000000000004	UP	UP
C5AR1	HsaEX1006463	Exon	23.260000000000005	23.260000000000005	UP	UP
CAMTA1	HsaEX1006901	Exon	17.94	-3.6999999999999993	UP	NONE
CCDC9	HsaEX1007525	Exon	18.519999999999996	33.33	UP	UP
CLIP4	HsaEX1008990	Exon	15.030000000000001	17.33	UP	UP
CLK4	HsaEX1009005	Exon	38.46	27.27	UP	UP
DMTN	HsaEX1011825	Exon	19.57	12.5	UP	NONE
FAM35A	HsaEX1014045	Exon	44.08	9.129999999999995	UP	NONE
FAR2	HsaEX1014199	Exon	20.8	0	UP	NONE
GOLGA8M	HsaEX1015830	Exon	16.099999999999994	7.309999999999988	UP	NONE
KANTR	HsaEX1018259	Exon	19.33	28.370000000000005	UP	UP
KLHL24	HsaEX1019033	Exon	15.14	2.43	UP	NONE
LINC01446	HsaEX1020927	Exon	31.1	23.240000000000002	UP	UP
LRRC14	HsaEX1022199	Exon	23.479999999999997	21.439999999999998	UP	UP
LRRC37B	HsaEX1022230	Exon	16.23	5.93	UP	NONE
MROH1	HsaEX1024204	Exon	15.34	3.8499999999999996	UP	NONE
NKAPP1	HsaEX1025726	Exon	15.759999999999998	4.68	UP	NONE
NUP50	HsaEX1026425	Exon	19.04	10.429999999999998	UP	NONE
NUTM2B-AS1	HsaEX1026455	Exon	15.33999999999999	-6.079999999999998	UP	NONE
PAX8-AS1	HsaEX1027135	Exon	19.619999999999997	7.32	UP	NONE
PRELID1	HsaEX1029362	Exon	22.799999999999997	18.269999999999996	UP	UP
RASA4	HsaEX1030691	Exon	16.260000000000005	13.189999999999998	UP	NONE
RBBP4	HsaEX1030778	Exon	32.61	33.400000000000006	UP	UP
RGS9	HsaEX1031199	Exon	26.42	-2.9099999999999966	UP	NONE
RHOT1	HsaEX1031255	Exon	25.870000000000005	21.019999999999996	UP	UP
RP11-333E1.1	HsaEX1033039	Exon	15.530000000000001	-2.6999999999999993	UP	NONE
RP11-588H23.3	HsaEX1034246	Exon	15.219999999999999	15.43	UP	UP
RSRP1	HsaEX1035776	Exon	22.360000000000007	14.740000000000002	UP	NONE
TMEM14B	HsaEX1041074	Exon	19.909999999999997	15.11	UP	UP
TRAF3IP2-AS1	HsaEX1041797	Exon	18.25	11.980000000000004	UP	NONE
TULP4	HsaEX1042577	Exon	18.32	14.620000000000005	UP	NONE
FAM35A	HsaEX1045920	Exon	22.22	8.05	UP	NONE
MYO9A	HsaEX1046138	Exon	22.290000000000006	1.720000000000013	UP	NONE
PRDM15	HsaEX6006284	Exon	18.200000000000003	18.200000000000003	UP	UP
MTMR11	HsaEX6033327	Exon	25.810000000000002	5.810000000000002	UP	NONE
FSTL1	HsaEX6057871	Exon	25.000000000000004	10.05	UP	NONE
DDX58	HsaEX6060948	Exon	15.959999999999994	15.959999999999994	UP	UP
DDX58	HsaEX6060949	Exon	16.409999999999997	16.409999999999997	UP	UP
DDX58	HsaEX6060950	Exon	18.239999999999995	18.239999999999995	UP	UP
KIF27	HsaEX6061688	Exon	15.049999999999997	19.569999999999993	UP	UP
DYX1C1	HsaEX6074908	Exon	26.340000000000003	9.899999999999999	UP	NONE
ISL2	HsaEX6075925	Exon	18.180000000000007	9.090000000000003	UP	NONE
SPTLC3	HsaEX6077214	Exon	50.85	-1.7800000000000011	UP	NONE
SPTLC3	HsaEX6077216	Exon	58.82	16.270000000000003	UP	UP
SPTLC3	HsaEX6077217	Exon	55.56	11.120000000000005	UP	NONE
SPTLC3	HsaEX6077218	Exon	52.63	7.18	UP	NONE
SPTLC3	HsaEX6077219	Exon	48.39	4.910000000000004	UP	NONE
MYL5	HsaEX6083095	Exon	17.060000000000002	5.140000000000001	UP	NONE
PRDM5	HsaEX6086001	Exon	17.5	17.5	UP	UP
SPEF2	HsaEX6097708	Exon	15.84	4.7299999999999995	UP	NONE
PAICS	HsaEX7002603	Exon	20.240000000000002	1.4100000000000037	UP	NONE
SBF2-AS1	HsaEX7005833	Exon	16.610000000000003	9.43	UP	NONE
PTEN	HsaEX7006688	Exon	17.080000000000002	15.280000000000005	UP	UP
COX6B2	HsaEX7109024	Exon	20.819999999999993	9.149999999999991	UP	NONE
ZNF17	HsaEX7109033	Exon	17.910000000000004	35.79	UP	UP
ACACB	HsaINT0002075	Intron	26.02	18.499999999999996	UP	UP
GCNA	HsaINT0002805	Intron	19.37	21	UP	UP
ALMS1	HsaINT0007190	Intron	16.13	12.73	UP	NONE
ARAP3	HsaINT0011008	Intron	15.14	7.79	UP	NONE
BAG5	HsaINT0016360	Intron	17.32	9.48	UP	NONE
C11orf80	HsaINT0019920	Intron	15.64	0	UP	NONE
FOXL2NB	HsaINT0023977	Intron	24.93	1.6799999999999997	UP	NONE
ZGRF1	HsaINT0024047	Intron	17.119999999999997	25.599999999999994	UP	UP
MROH6	HsaINT0025205	Intron	17.72	13.350000000000001	UP	NONE
MROH6	HsaINT0025214	Intron	17.6	20.119999999999997	UP	UP
MROH6	HsaINT0025215	Intron	18.14	-3.4099999999999966	UP	NONE
CARD14	HsaINT0027711	Intron	15.39	0.8800000000000026	UP	NONE
CC2D1B	HsaINT0028554	Intron	19.439999999999998	9.049999999999997	UP	NONE
CCDC122	HsaINT0028880	Intron	23.14	13	UP	NONE
CCDC14	HsaINT0029046	Intron	16.759999999999998	4.159999999999997	UP	NONE
CCDC88B	HsaINT0030087	Intron	35.480000000000004	15.59	UP	UP
CELSR2	HsaINT0033222	Intron	17.730000000000004	-4.449999999999999	UP	NONE
CELSR3	HsaINT0033265	Intron	23.61	5.789999999999999	UP	NONE
CLCN2	HsaINT0035898	Intron	16.07	12.81	UP	NONE
CLCNKB	HsaINT0036037	Intron	60.709999999999994	42.89	UP	UP
CORO6	HsaINT0040310	Intron	16.68	3.05	UP	NONE
CPT1B	HsaINT0041035	Intron	15.870000000000005	16.57	UP	UP
CROT	HsaINT0041658	Intron	18.490000000000002	10.43	UP	NONE
CTRL	HsaINT0043016	Intron	22.72999999999999	10.280000000000001	UP	NONE
CTRL	HsaINT0043017	Intron	19.430000000000003	-1.9499999999999993	UP	NONE
CTTNBP2	HsaINT0043195	Intron	29.150000000000002	9.299999999999999	UP	NONE
CUL9	HsaINT0043466	Intron	19.840000000000003	10.8	UP	NONE
CYP4V2	HsaINT0044538	Intron	16.919999999999998	5.319999999999999	UP	NONE
DGKQ	HsaINT0047384	Intron	19.86	8.060000000000002	UP	NONE
DGKQ	HsaINT0047387	Intron	22.040000000000003	8.879999999999999	UP	NONE
CRACR2B	HsaINT0054210	Intron	23.049999999999997	1.3200000000000003	UP	NONE
ELL3	HsaINT0055586	Intron	19.48	13.129999999999999	UP	NONE
EME2	HsaINT0055872	Intron	15.049999999999997	14.689999999999998	UP	NONE
ETV4	HsaINT0058362	Intron	17.21	8	UP	NONE
FBF1	HsaINT0062282	Intron	24.249999999999996	3.6000000000000014	UP	NONE
FDXACB1	HsaINT0063446	Intron	21.88	16.18	UP	UP
