GENE	EVENT	dPSI	MVdPSIat95
SFI1	HsaINT0148624	-0.175504	0.18
ECHDC2	HsaEX0021508	-0.175526	0.18
TMEM8B	HsaEX0066006	-0.175918	0.16
CFAP74	HsaEX6027810	-0.175926	0.17
P3H3	HsaINT1025993	-0.176016	0.17
FTCD	HsaINT0066443	-0.176216	0.17
PFKFB4	HsaINT0123365	-0.176315	0.16
RP1-240K6.3	HsaINT1029778	-0.176351	0.17
APOA2	HsaALTD0000400-1/2	-0.176627	0.18
APOL1	HsaINT0010666	-0.176865	0.16
ACAT2	HsaALTD1015519-6/6	-0.177011	0.2
SGK494	HsaINT0148998	-0.177078	0.2
RP3-326I13.1	HsaALTA1057474-1/2	-0.177248	0.16
CDH1	HsaINT0031905	-0.177414	0.16
TMPRSS9	HsaALTD1038066-4/4	-0.178433	0.18
LRRC24	HsaEX1022207	-0.178718	0.17
STAT2	HsaINT0160469	-0.178999	0.18
PRPF40B	HsaINT0132652	-0.179124	0.24
ZBTB7B	HsaINT0184688	-0.179125	0.16
NSRP1	HsaINT0029707	-0.179284	0.18
ENGASE	HsaINT0056255	-0.179311	0.16
TAF1C	HsaINT0163430	-0.179431	0.17
FANCL	HsaINT0061911	-0.179735	0.18
IRF9	HsaINT0082091	-0.179841	0.19
KLHL17	HsaINT0088646	-0.179920	0.17
MROH6	HsaINT0025215	-0.180139	0.18
SFXN3	HsaINT0148822	-0.180273	0.19
TYMP	HsaALTD1001498-1/3	-0.180475	0.18
LUC7L	HsaINT0097720	-0.180804	0.15
DNAJC5	HsaEX0020352	-0.181465	0.16
CYP2D6	HsaINT1010486	-0.181534	0.2
CHKB-AS1	HsaINT0093117	-0.182332	0.21
TPM3	HsaALTA1032340-3/3	-0.182382	0.17
ATP6V0E2	HsaINT1004881	-0.182473	0.16
ZNF213-AS1	HsaINT1047332	-0.182909	0.17
MTFR1L	HsaINT0061162	-0.182925	0.15
EPO	HsaALTD1018608-1/2	-0.182937	0.17
CD27-AS1	HsaINT1006848	-0.182976	0.18
THUMPD3-AS1	HsaINT1044242	-0.183024	0.19
ENO2	HsaINT0056280	-0.183239	0.18
SLC16A5	HsaALTA1045214-3/4	-0.183626	0.2
ZNF202	HsaEX0073171	-0.183667	0.16
SBK3	HsaINT1040910	-0.184155	0.22
POMT2	HsaINT0129592	-0.184284	0.18
EHBP1L1	HsaEX0021841	-0.184592	0.19
CHKB	HsaINT0034923	-0.184616	0.18
ZNF276	HsaINT0186683	-0.184843	0.15
CHRD	HsaINT0035117	-0.186102	0.2
AGBL3	HsaINT0005458	-0.186115	0.15
BAG6	HsaALTD0000663-1/4	-0.186117	0.19
GIGYF1	HsaALTD1026060-2/2	-0.186519	0.16
LYSMD4	HsaINT0097966	-0.186741	0.18
CBARP	HsaINT0021694	-0.187041	0.17
SP140L	HsaEX0061115	-0.187596	0.18
MCEE	HsaINT0100633	-0.187679	0.19
FTCD	HsaINT0066449	-0.187863	0.19
RNF167	HsaALTA1014895-2/2	-0.188067	0.17
NCKAP5L	HsaINT0111141	-0.188242	0.19
CASC19	HsaEX1007065	-0.188610	0.17
ISYNA1	HsaINT1016809	-0.188613	0.19
MICALL2	HsaINT0102927	-0.188624	0.22
FBXL6	HsaINT0062713	-0.188641	0.18
ZNRD1	HsaINT1047721	-0.188776	0.19
FAM102A	HsaINT1012967	-0.188848	0.19
PDXDC2P	HsaINT1026596	-0.189263	0.19
ZNF286B	HsaINT1047362	-0.189481	0.19
PLXNB3	HsaINT0128113	-0.189675	0.24
IFT122	HsaINT0079050	-0.189854	0.18
TSPAN4	HsaINT0173849	-0.189965	0.19
RPL36A	HsaINT0142695	-0.189994	0.21
PAXBP1	HsaINT1026230	-0.190185	0.16
ZNF764	HsaINT1047671	-0.190389	0.23
LINC01909	HsaEX1021529	-0.190596	0.22
THEM4	HsaEX0064821	-0.190645	0.19
NCAPH2	HsaALTA0005586-3/3	-0.190745	0.17
CTD-3184A7.4	HsaINT1010288	-0.190803	0.19
NPSR1-AS1	HsaEX1026058	-0.190812	0.17
TRIM5	HsaEX0067149	-0.190963	0.19
PPP1R16A	HsaALTD1030411-2/2	-0.191012	0.2
SERPINA1	HsaALTD0005797-2/2	-0.191016	0.18
ZNF512B	HsaINT0187469	-0.191320	0.18
TTC12	HsaEX0067751	-0.191407	0.17
TMEM106A	HsaINT0168242	-0.191546	0.19
PLCXD1	HsaINT1027305	-0.191600	0.19
RP11-580I16.2	HsaEX1034224	-0.191698	0.18
DEF8	HsaINT0046596	-0.192036	0.19
AC005932.1	HsaINT1000695	-0.192112	0.18
LZTR1	HsaINT0098063	-0.192384	0.19
ATXN2L	HsaALTD1034493-2/2	-0.192525	0.2
BCS1L	HsaINT1005126	-0.192603	0.19
BCAS4	HsaINT1005095	-0.192626	0.19
PRAG1	HsaINT1027891	-0.193026	0.18
EXO5	HsaINT0046670	-0.193028	0.21
SEC22C	HsaEX0056867	-0.193276	0.18
FKBP2	HsaINT0064336	-0.193570	0.19
PGAM1	HsaALTD1035632-3/3	-0.194185	0.18
AMPD2	HsaINT0007724	-0.194571	0.19
CNIH4	HsaALTD1024998-2/3	-0.194697	0.19
DHRS1	HsaINT0047509	-0.194792	0.19
DHRS1	HsaINT0047508	-0.195012	0.19
ARMCX3	HsaALTA0000657-1/2	-0.195864	0.2
FTCD	HsaINT1013982	-0.195939	0.19
TERT	HsaINT0165806	-0.196074	0.2
VGLL4	HsaEX0070334	-0.196152	0.19
KIF5A	HsaINT0088106	-0.196843	0.17
FBRSL1	HsaINT0062602	-0.198079	0.19
TRMT2B	HsaALTD0006809-3/3	-0.198083	0.21
NUDT17	HsaINT1025448	-0.198486	0.19
MIGA2	HsaEX0024630	-0.198538	0.19
PTCH2	HsaINT0133900	-0.198652	0.16
ZNF780A	HsaINT0188371	-0.198919	0.18
CTD-2571L23.8	HsaALTD1049308-2/2	-0.199080	0.18
N4BP2L2	HsaINT1024357	-0.199125	0.19
CROCC	HsaINT1008418	-0.199482	0.21
BORCS8	HsaINT1005288	-0.199575	0.2
CAMTA2	HsaINT0027217	-0.200007	0.2
PRELID3A	HsaINT0154622	-0.200027	0.19
CYP4V2	HsaINT0044541	-0.200044	0.16
ADCY7	HsaINT0004698	-0.200075	0.19
TAPBPL	HsaINT0163713	-0.200151	0.2
TRIM39	HsaINT1045208	-0.201104	0.16
RP11-656D10.3	HsaALTA1059332-2/2	-0.201238	0.2
NUDCD2	HsaALTD0004432-1/2	-0.201347	0.2
IVNS1ABP	HsaINT0083459	-0.201686	0.2
BRPF1	HsaALTA0000995-1/2	-0.201921	0.2
RP11-521B24.3	HsaINT1035824	-0.202560	0.21
GSTO1	HsaALTD0002914-1/2	-0.202643	0.23
EEF1B2	HsaALTD0002120-2/4	-0.202666	0.3
NKTR	HsaINT0113812	-0.202919	0.15
SLC44A4	HsaINT1042082	-0.203054	0.2
HDAC10	HsaINT0074555	-0.203209	0.21
ZNF444	HsaALTD0007446-1/3	-0.203220	0.37
HAGH	HsaALTA1004092-3/4	-0.203243	0.17
BRSK2	HsaINT0018737	-0.203291	0.21
LINC01819	HsaEX0001123	-0.203366	0.22
HAGH	HsaALTD1002941-2/3	-0.203513	0.17
ABHD6	HsaEX0000634	-0.203540	0.16
ABCC3	HsaINT0001234	-0.203838	0.2
POLR2E	HsaALTA0006524-2/4	-0.204409	0.19
MBD1	HsaINT1022615	-0.205477	0.21
EIF4B	HsaALTD0002176-2/2	-0.205565	0.22
CDC7	HsaINT0031809	-0.205606	0.18
PRR14	HsaINT0132810	-0.206692	0.21
ZNF69	HsaINT0188132	-0.206853	0.21
RP11-204M4.4	HsaALTA1063293-1/2	-0.206983	0.21
HMGB1	HsaINT1015716	-0.207471	0.19
FANCD2	HsaEX0024751	-0.207578	0.22
IFFO1	HsaINT0078868	-0.207802	0.17
NISCH	HsaINT0113699	-0.208180	0.22
MSI2	HsaEX0040317	-0.208308	0.21
PIF1	HsaINT0124709	-0.208339	0.21
OSGEPL1-AS1	HsaINT1025720	-0.208389	0.21
HIST1H2BD	HsaINT0076308	-0.208457	0.21
RAD52	HsaINT0136677	-0.208848	0.21
MROH6	HsaEX0011561	-0.208916	0.19
C18orf32	HsaALTD1050488-1/2	-0.209289	0.21
EIF4A2	HsaINT0055203	-0.209308	0.2
SLC19A1	HsaALTD1036624-5/5	-0.209436	0.21
TROVE2	HsaEX0067353	-0.209559	0.21
CALCOCO1	HsaINT1006252	-0.209615	0.2
NBEAL2	HsaINT0110434	-0.210457	0.21
EBP	HsaALTA0002725-1/2	-0.210547	0.2
CHKB	HsaINT0034924	-0.210551	0.2
TLCD2	HsaEX0065062	-0.210614	0.35
SRCIN1	HsaINT0158799	-0.210902	0.22
C19orf54	HsaEX0010005	-0.211101	0.24
FARP2	HsaINT0062022	-0.211105	0.21
KLHL17	HsaINT0088644	-0.211160	0.2
RECQL4	HsaALTA1039223-2/2	-0.211232	0.15
CYP4F12	HsaINT0044466	-0.211266	0.19
PLXNA3	HsaINT0127981	-0.211300	0.21
HNRNPA2B1	HsaEX0030281	-0.211630	0.2
SLC25A47	HsaINT1041885	-0.211815	0.27
UNC5CL	HsaINT0177894	-0.211926	0.18
ZDHHC16	HsaINT0185165	-0.212695	0.21
SNHG6	HsaINT0155949	-0.212959	0.23
CCDC93	HsaINT0030190	-0.213401	0.22
SFI1	HsaINT0148621	-0.213454	0.21
NAALADL1	HsaEX0041526	-0.213522	0.19
RTKN	HsaINT0143800	-0.213578	0.21
PIP5K1A	HsaALTD1024805-1/2	-0.213803	0.21
HSP90AB1	HsaALTD1007085-6/6	-0.214627	0.16
TRMT2B	HsaINT1045279	-0.215049	0.2
GDPD3	HsaINT0068535	-0.215092	0.22
ENO2	HsaINT0056275	-0.215563	0.21
CELSR2	HsaINT0033222	-0.215567	0.19
PLEKHA6	HsaINT0127217	-0.216417	0.17
CSGALNACT2	HsaEX0017479	-0.216738	0.18
EP400NL	HsaEX1045902	-0.216853	0.2
ZC3H12A	HsaALTA0009624-1/2	-0.217049	0.21
HSH2D	HsaALTA1053425-6/6	-0.217435	0.26
ARGLU1	HsaINT0011220	-0.217739	0.22
MROH6	HsaINT0025212	-0.217947	0.18
MBNL1	HsaEX0038114	-0.218434	0.2
ABCC3	HsaINT0001253	-0.219527	0.22
KLC1	HsaINT0088424	-0.219736	0.2
CCDC24	HsaEX0013183	-0.220258	0.2
CDK11A	HsaINT0032386	-0.220900	0.22
BAIAP3	HsaINT0016558	-0.220976	0.35
ZNF789	HsaINT0188405	-0.221195	0.22
MYL5	HsaALTA1057099-2/2	-0.221426	0.24
ZNF134	HsaEX0073034	-0.221474	0.18
COASY	HsaEX0016142	-0.221525	0.21
KRT8	HsaALTD1035297-2/4	-0.221682	0.43
PILRB	HsaINT0125261	-0.222351	0.2
XRRA1	HsaINT0184012	-0.222400	0.25
PPP6R2	HsaINT0131124	-0.222457	0.24
SELENOO	HsaINT0147161	-0.222492	0.2
C17orf75	HsaALTD1011399-2/2	-0.223197	0.2
KREMEN2	HsaINT0089280	-0.223321	0.21
MEN1	HsaINT1022805	-0.224331	0.15
XRRA1	HsaINT0184011	-0.224384	0.22
ANKRD13D	HsaINT0008464	-0.224742	0.23
GPT	HsaINT0071952	-0.225815	0.22
MYO7A	HsaINT0108915	-0.226063	0.22
CYP2D6	HsaINT1010482	-0.226419	0.22
SLC22A18	HsaALTA1015777-1/3	-0.226455	0.22
SRSF6	HsaINT0159283	-0.226556	0.23
ECHDC2	HsaINT0053795	-0.227259	0.23
SLC35G2	HsaALTD0006634-3/3	-0.228165	0.23
CKMT2-AS1	HsaALTA1059943-1/2	-0.228851	0.23
MPPE1	HsaEX0040009	-0.228876	0.21
METAP1D	HsaINT0102102	-0.228958	0.23
RDH5	HsaINT0139028	-0.230020	0.26
SGK494	HsaINT0148992	-0.230089	0.23
CLK2	HsaINT0036438	-0.230392	0.23
ZNF32	HsaALTD0007421-1/8	-0.230502	0.23
FBXO9	HsaINT0063000	-0.230503	0.23
AC012123.1	HsaINT1001323	-0.230749	0.26
NDUFA11	HsaINT0111874	-0.230907	0.23
ZNF398	HsaINT0187122	-0.231181	0.25
ACYP1	HsaINT1002725	-0.231424	0.25
ETFB	HsaINT1047944	-0.231606	0.21
SLC22A18	HsaALTA1015776-2/2	-0.232164	0.18
CDCA7	HsaINT0031865	-0.232439	0.24
ZRANB2	HsaINT1047769	-0.232687	0.22
LINC00239	HsaINT0111580	-0.233249	0.23
RPS5	HsaINT1040572	-0.233266	0.25
SLC38A11	HsaEX0059537	-0.234161	0.19
AMDHD2	HsaINT1003540	-0.234296	0.23
LINC01021	HsaINT1019288	-0.234542	0.22
CD27-AS1	HsaINT1006846	-0.235083	0.24
MROH6	HsaINT0025205	-0.235293	0.19
MFSD8	HsaINT0102461	-0.235576	0.22
CALML4	HsaINT0026928	-0.236857	0.23
VWA7	HsaINT1046482	-0.237996	0.24
MYO7A	HsaINT0108914	-0.239226	0.24
ECHDC2	HsaALTA1020686-2/2	-0.239268	0.26
TRIP12	HsaINT0172710	-0.239617	0.26
KIF5A	HsaINT0088108	-0.239953	0.25
SERPINA1	HsaALTD1042098-1/2	-0.239955	0.24
LINC01979	HsaINT1021229	-0.240643	0.17
PYCR1	HsaALTD1039225-4/4	-0.240913	0.26
OSBPL3	HsaALTD0004505-1/2	-0.242162	0.24
SCRIB	HsaALTA1049514-1/2	-0.242300	0.22
STOX1	HsaEX1039382	-0.242611	0.26
USE1	HsaINT0178340	-0.242895	0.24
MRPL33	HsaEX1024239	-0.243559	0.24
LRRC45	HsaINT0096914	-0.243666	0.24
CHKB	HsaINT0034921	-0.244058	0.25
TOP3B	HsaINT1044896	-0.245523	0.25
CCDC40	HsaINT0029580	-0.245568	0.22
ZNF789	HsaINT1047676	-0.246711	0.24
EWSR1	HsaINT1012832	-0.246741	0.25
GANAB	HsaALTD1006341-1/2	-0.246839	0.27
C10orf82	HsaINT0019657	-0.247538	0.19
FAM217B	HsaEX0010455	-0.247787	0.25
IZUMO4	HsaINT0083505	-0.247807	0.32
MTSS1L	HsaALTA1025494-2/3	-0.248989	0.26
PPP1R12C	HsaALTA0006603-1/2	-0.249950	0.29
INPP5E	HsaINT0080999	-0.250200	0.25
ITIH1	HsaEX0032501	-0.251506	0.24
VPS9D1	HsaINT1046425	-0.251585	0.26
GRK5	HsaALTA1055400-1/2	-0.251790	0.36
KIF5A	HsaINT0088107	-0.251980	0.28
TMEM59L	HsaINT1044578	-0.252137	0.26
LINC01089	HsaINT0094044	-0.253013	0.18
KLHL22	HsaINT0088690	-0.253166	0.24
GLYCTK	HsaINT0069829	-0.253253	0.24
ST6GAL1	HsaINT0159832	-0.253455	0.18
MICALL2	HsaINT0102933	-0.254056	0.26
PITPNM2	HsaINT0125510	-0.254655	0.19
CLK2	HsaINT0036437	-0.254752	0.24
RABGGTA	HsaINT0136444	-0.255432	0.25
MARCH9	HsaINT0099929	-0.256528	0.25
TMEM144	HsaINT0168498	-0.256763	0.21
S100A6	HsaINT0144558	-0.256926	0.37
OPLAH	HsaALTD1052174-1/5	-0.257094	0.36
ZNF445	HsaINT0187281	-0.257610	0.25
HCN3	HsaINT0074495	-0.259924	0.23
CH507-254M2.3	HsaINT1007571	-0.260684	0.26
JRKL	HsaINT1016962	-0.260998	0.23
METTL21B	HsaINT0059645	-0.261043	0.2
UNC5CL	HsaINT0177896	-0.261383	0.17
LGALS9C	HsaEX1019583	-0.261693	0.21
ZNF850	HsaEX6094717	-0.261975	0.4
LSM12	HsaALTD1030561-1/2	-0.262139	0.26
ITSN2	HsaALTD1042796-1/2	-0.262934	0.24
ELAC1	HsaALTA1064087-1/2	-0.263027	0.25
SLC2A11	HsaINT0152271	-0.263405	0.29
FAM229A	HsaINT0092723	-0.264706	0.26
CATSPER2	HsaINT1006428	-0.265943	0.26
LINC01012	HsaALTD1049913-1/2	-0.266508	0.22
ATP2C1	HsaALTA0000799-3/3	-0.268135	0.17
RP11-72M17.1	HsaINT1037770	-0.268720	0.28
LINC01146	HsaINT1019498	-0.268885	0.26
RHPN1	HsaINT0140594	-0.269339	0.29
DUSP22	HsaINT0052944	-0.269972	0.27
ZNF721	HsaEX0074267	-0.272857	0.26
PLCH2	HsaEX0048139	-0.274079	0.37
FBXO44	HsaEX0025339	-0.274176	0.28
MRI1	HsaINT0105008	-0.274798	0.29
FAM162A	HsaEX0024112	-0.275441	0.35
BAIAP3	HsaINT0016559	-0.276765	0.25
ZBTB22	HsaINT1047084	-0.279243	0.22
RAD52	HsaINT0136686	-0.282793	0.24
HID1	HsaINT0021283	-0.284891	0.41
PLPPR2	HsaALTD0000068-1/2	-0.286161	0.37
GMNN	HsaALTD1012748-5/5	-0.286781	0.25
FTCD	HsaINT0066452	-0.286902	0.28
UNC5CL	HsaINT0177895	-0.288269	0.19
IVNS1ABP	HsaEX0032642	-0.288555	0.29
GNL3	HsaALTD0002814-1/6	-0.290064	0.18
RIPPLY3	HsaINT0052398	-0.290434	0.28
FCF1	HsaEX0025397	-0.290535	0.23
DND1	HsaINT1011674	-0.290962	0.28
F12	HsaINT0059131	-0.291354	0.19
RHPN1	HsaINT0140584	-0.294594	0.29
GAR1	HsaINT0067744	-0.295220	0.22
AC016735.1	HsaEX1001981	-0.296066	0.28
MELTF-AS1	HsaINT1022796	-0.296193	0.23
RP11-443B7.1	HsaINT1034871	-0.298376	0.38
CRAMP1	HsaALTD1053862-2/2	-0.299865	0.2
FURIN	HsaINT0066611	-0.300725	0.35
IST1	HsaALTA0004511-1/2	-0.302030	0.31
CARHSP1	HsaINT0027768	-0.305074	0.26
B4GALNT3	HsaINT1004982	-0.305622	0.28
SDSL	HsaINT1041138	-0.306978	0.27
ANPEP	HsaEX0004693	-0.307779	0.32
SH2D5	HsaEX0057938	-0.309940	0.35
RP1-240K6.3	HsaINT1029777	-0.312183	0.28
STXBP5	HsaEX6049856	-0.313657	0.3
BOLA1	HsaINT0018237	-0.317447	0.32
LYSMD4	HsaINT0097964	-0.318536	0.27
RP11-580I16.2	HsaINT1036597	-0.323015	0.24
LINC02018	HsaALTA1062666-1/3	-0.325718	0.31
KANSL1L	HsaINT0023558	-0.326097	0.19
CTC-338M12.5	HsaEX0017690	-0.328631	0.46
DRD4	HsaINT0052176	-0.337203	0.33
C1orf220	HsaINT0022391	-0.337826	0.17
SLC28A1	HsaINT0152164	-0.338182	0.5
DOCK7	HsaEX6031310	-0.340253	0.31
RHBDL1	HsaINT0140389	-0.341614	0.33
GIGYF1	HsaALTA1033826-2/3	-0.343512	0.24
LSP1	HsaINT0097436	-0.345709	0.35
POLD4	HsaINT0128921	-0.347337	0.26
HIST1H3D	HsaINT0076310	-0.347653	0.44
PIN4	HsaALTD1008736-3/3	-0.347966	0.32
CTD-3184A7.4	HsaALTA1058527-2/3	-0.353299	0.35
LYSMD4	HsaINT0097967	-0.353808	0.33
CALML4	HsaINT0026927	-0.355886	0.35
S100A13	HsaINT0144542	-0.359274	0.36
TTC3	HsaEX0067911	-0.360371	0.33
RP11-798K3.2	HsaALTA1061427-2/2	-0.360853	0.32
NOXA1	HsaINT0115005	-0.366074	0.37
DDX3X	HsaALTA1057081-2/4	-0.367748	0.38
EMC3-AS1	HsaEX1013032	-0.373011	0.25
MICALL2	HsaINT0102925	-0.374446	0.38
DDX3X	HsaALTD1044543-2/2	-0.375707	0.39
KLRC3	HsaINT1047857	-0.376105	0.55
SLC22A18	HsaEX1037229	-0.378089	0.35
RP11-783K16.13	HsaINT1038161	-0.379014	0.31
ZNF850	HsaINT1047706	-0.382411	0.38
NABP1	HsaEX1025040	-0.385099	0.38
ITGB4	HsaEX0032466	-0.387358	0.39
ANKRD10	HsaINT0008386	-0.393238	0.27
MROH6	HsaINT0025209	-0.409605	0.41
AC104667.3	HsaINT1002297	-0.409949	0.53
SLC22A18	HsaEX1037228	-0.411104	0.38
OSGEPL1-AS1	HsaINT1025719	-0.413357	0.35
KMT2A	HsaEX0039465	-0.420349	0.15
CIC	HsaALTD1005071-2/4	-0.424633	0.43
AC104135.2	HsaINT1002285	-0.431467	0.42
OGT	HsaINT0118116	-0.440460	0.45
SLC22A18	HsaINT0151362	-0.440465	0.41
IST1	HsaALTD1038931-2/3	-0.444789	0.46
PSMC3	HsaALTD1032967-1/2	-0.445657	0.45
C8orf44	HsaINT0025166	-0.446893	0.38
FAM177A1	HsaALTD1027336-2/2	-0.459307	0.44
RHPN1	HsaINT0140591	-0.462692	0.23
SNCG	HsaINT0155856	-0.489281	0.6
MBOAT4	HsaINT1022628	-0.491771	0.43
SLC44A3	HsaEX0059729	-0.498686	0.19
BTN3A1	HsaINT1005500	-0.538444	0.56
POLR2J	HsaALTD1052337-2/2	-0.557911	0.31
MYO18A	HsaALTA1053252-2/2	-0.572838	0.23
TRMT61B	HsaALTA1045634-1/2	-0.579375	0.55
CCDC14	HsaINT0029046	-0.635285	0.33
