EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
ZNF717=HsaEX0074261	4.84	NA	NA	NA	29.53	NA	NA	NA	11.36	NA	NA	NA
TP73-AS1=HsaEX0033667	87.39	91.71	100.00	NA	87.60	84.11	NA	100.00	91.12	84.76	91.73	100.00
TP73-AS1=HsaEX0033668	90.04	NA	100.00	74.35	94.13	92.64	NA	100.00	97.37	100.00	93.52	100.00
TP73-AS1=HsaEX0033669	11.82	NA	NA	13.96	1.42	0.00	0.00	NA	9.21	NA	9.28	NA
KIF9-AS1=HsaEX0054849	66.67	NA	NA	NA	NA	NA	NA	NA	82.86	NA	NA	NA
LINC01515=HsaEX1021055	93.33	100.00	91.67	NA	94.44	100.00	100.00	83.33	100.00	100.00	NA	100.00
LINC01515=HsaEX1021056	100.00	100.00	100.00	100.00	83.33	79.31	88.24	80.95	96.08	89.47	NA	100.00
RP11-342M1.3=HsaEX0054673	73.86	83.33	76.92	62.26	79.55	76.92	70.49	100.00	69.03	65.85	71.43	68.97
RP11-342M1.3=HsaEX0054674	73.98	79.49	82.22	58.97	79.31	71.43	72.00	100.00	70.31	73.68	69.57	68.18
TSTD3=HsaEX0054301	72.86	82.61	72.73	66.15	73.23	66.10	81.82	76.27	78.84	72.41	76.92	88.68
ZNF883=HsaEX0074473	79.53	80.33	75.68	82.50	97.67	97.56	95.60	100.00	91.93	88.06	91.11	96.97
ARL17B=HsaEX1004674	13.25	16.67	6.67	17.24	12.50	5.88	18.75	NA	3.23	4.35	3.45	NA
LINC01128=HsaEX0054527	21.59	NA	12.83	27.12	19.90	24.83	15.97	16.05	21.78	26.74	15.46	27.25
LINC01128=HsaEX0054529	64.17	NA	60.14	63.27	63.43	59.53	67.93	64.95	64.79	81.92	53.96	64.89
RP11-268G12.1=HsaEX1032727	38.94	NA	NA	NA	20.55	NA	NA	23.26	20.00	NA	NA	NA
AC091729.9=HsaEX0001376	66.58	63.55	62.44	73.73	80.15	71.55	80.97	89.88	61.73	45.10	59.49	81.78
AC091729.9=HsaEX0001378	8.85	7.84	2.97	16.39	13.77	18.06	8.32	16.07	12.75	6.40	13.63	21.88
AC091729.9=HsaEX0001380	81.40	NA	NA	NA	90.12	92.31	85.19	92.86	79.31	84.00	NA	NA
RP11-398K22.12=HsaEX0054750	86.07	NA	NA	NA	96.31	100.00	NA	NA	91.88	81.92	NA	NA
RP11-398K22.12=HsaEX0054751	30.58	NA	NA	NA	21.02	NA	NA	NA	22.56	8.99	NA	NA
ACBD6=HsaEX0001847	35.29	NA	NA	NA	65.52	NA	NA	NA	NA	NA	NA	NA
ACBD6=HsaEX6035252	100.00	NA	NA	NA	100.00	NA	NA	NA	75.00	NA	NA	NA
ACBD6=HsaEX1002422	NA	NA	NA	NA	11.11	NA	NA	NA	0.00	NA	NA	NA
ACBD6=HsaEX0055354	NA	NA	NA	NA	92.00	NA	NA	NA	84.00	NA	NA	NA
RP5-1198O20.4=HsaEX1035387	37.97	NA	NA	NA	NA	NA	NA	NA	20.29	NA	NA	NA
RP5-1198O20.4=HsaEX1035388	21.58	NA	NA	NA	22.83	NA	NA	NA	4.28	NA	NA	NA
DCST1-AS1=HsaEX1011134	85.71	NA	NA	NA	84.62	90.91	NA	NA	77.36	NA	NA	100.00
RP11-488L18.8=HsaEX1033855	95.76	100.00	91.25	100.00	68.26	62.15	NA	79.22	89.41	NA	100.00	90.02
KANTR=HsaEX1018259	57.14	NA	NA	NA	85.51	83.33	91.67	NA	76.47	NA	74.19	NA
KANTR=HsaEX1018260	19.40	NA	25.93	NA	16.88	18.52	21.43	9.09	20.63	NA	11.11	NA
LINC00342=HsaEX1019843	70.37	NA	NA	89.47	58.14	60.98	NA	NA	78.95	NA	90.48	NA
LINC00342=HsaEX1019844	NA	NA	NA	NA	35.59	NA	NA	NA	45.95	NA	NA	NA
RP11-421L21.3=HsaEX0054787	44.47	35.33	49.48	45.74	48.24	56.16	54.22	34.56	50.00	60.40	50.32	41.96
RP11-421L21.3=HsaEX0054783	28.95	28.16	36.59	19.35	32.83	39.26	34.94	21.92	34.75	32.08	28.77	44.22
RP11-421L21.3=HsaEX0054785	35.78	26.79	38.46	38.03	29.25	40.18	22.22	22.04	29.83	27.71	27.54	34.51
NKAPP1=HsaEX1025726	7.32	NA	NA	NA	12.00	NA	NA	NA	23.08	NA	NA	NA
ZNF37BP=HsaEX0073531	40.87	NA	NA	NA	32.52	25.64	NA	NA	32.26	NA	NA	NA
RP11-706O15.3=HsaEX1034557	49.27	47.69	57.75	42.03	43.24	48.28	51.11	28.89	52.65	47.17	61.19	52.78
RP11-706O15.3=HsaEX1034559	76.44	82.35	73.68	73.91	71.67	71.26	81.56	62.91	77.97	74.10	80.65	80.33
FAM133B=HsaEX0023959	NA	NA	NA	NA	55.00	NA	NA	NA	87.10	NA	NA	NA
ZSCAN31=HsaEX0073416	56.16	57.45	59.46	53.06	65.36	67.57	56.36	72.00	62.91	51.22	65.08	70.21
MSC-AS1=HsaEX0054724	56.52	NA	62.16	38.46	55.29	64.29	62.50	NA	39.13	NA	NA	NA
MSC-AS1=HsaEX0054726	14.61	NA	9.09	23.08	20.63	NA	16.67	NA	19.30	NA	NA	11.11
KIAA0040=HsaEX0033416	75.00	NA	NA	NA	60.71	NA	NA	NA	85.37	NA	NA	89.47
RGL2=HsaEX0053313	87.50	90.00	92.16	81.13	87.01	83.43	88.68	89.29	70.20	71.88	63.89	78.26
GOLGA2P5=HsaEX0001026	95.30	NA	89.18	100.00	91.45	100.00	92.23	80.37	100.00	NA	NA	100.00
GOLGA2P5=HsaEX0001027	94.61	NA	100.00	NA	86.86	83.79	NA	NA	85.69	NA	NA	NA
GOLGA2P5=HsaEX0001028	77.14	NA	NA	NA	68.42	NA	NA	NA	78.57	NA	NA	NA
GOLGA2P5=HsaEX0001030	96.54	NA	100.00	88.98	94.82	100.00	NA	91.60	91.03	83.07	100.00	92.74
GOLGA2P5=HsaEX0001031	75.42	NA	68.70	NA	65.41	78.95	60.76	NA	63.83	60.35	NA	NA
ALKBH6=HsaEX0003748	24.19	35.48	17.81	NA	15.68	12.64	17.39	19.23	16.03	16.67	16.00	15.15
CDKN2B-AS1=HsaEX0014410	82.70	NA	NA	NA	85.73	NA	NA	88.93	67.57	NA	NA	NA
CDKN2B-AS1=HsaEX1008068	100.00	NA	NA	NA	90.10	NA	NA	NA	NA	NA	NA	NA
CDKN2B-AS1=HsaEX0014411	NA	NA	NA	NA	30.91	NA	NA	NA	11.11	NA	NA	NA
SUCLG2-AS1=HsaEX0055156	46.67	NA	NA	NA	65.23	NA	NA	NA	55.10	NA	NA	NA
SUCLG2-AS1=HsaEX0055157	42.86	NA	NA	NA	65.89	NA	NA	NA	59.32	NA	NA	NA
SUCLG2-AS1=HsaEX1039540	82.61	NA	NA	NA	94.97	NA	NA	NA	95.56	88.89	NA	NA
PISD=HsaEX0047732	25.94	22.86	30.07	25.00	31.35	34.69	25.27	34.84	36.26	41.67	34.37	33.72
HOGA1=HsaEX0019492	42.51	NA	NA	NA	31.31	NA	NA	NA	39.44	NA	NA	NA
HOGA1=HsaEX1017051	100.00	NA	NA	NA	85.82	91.48	90.72	NA	91.79	NA	NA	NA
AC108488.4=HsaEX0001559	20.60	23.34	15.79	NA	11.84	9.15	24.29	3.45	15.82	13.04	18.61	15.38
MICAL3=HsaEX0039226	10.12	9.77	9.46	10.93	8.54	5.31	9.33	12.38	15.34	27.91	10.42	12.85
MRPS6=HsaEX6006065	NA	NA	NA	NA	57.22	NA	40.46	56.76	50.06	NA	NA	NA
MRPS6=HsaEX0040210	78.28	NA	NA	NA	70.48	79.94	60.78	64.25	68.99	NA	NA	NA
AC007566.10=HsaEX0000934	92.31	NA	NA	NA	NA	NA	NA	NA	80.65	NA	NA	NA
MIATNB=HsaEX1023589	31.43	NA	NA	NA	37.63	35.48	42.11	NA	29.11	NA	23.08	25.93
UBE2V1=HsaEX1042765	13.65	NA	NA	NA	0.00	0.00	NA	NA	0.00	NA	NA	NA
UBE2V1=HsaEX0068806	NA	NA	34.74	NA	NA	15.02	NA	NA	NA	NA	NA	NA
USP2-AS1=HsaEX0004847	87.19	92.87	90.91	78.57	91.49	90.00	92.59	92.59	93.85	100.00	93.11	NA
USP2-AS1=HsaEX0004849	87.58	NA	NA	NA	100.00	NA	NA	NA	93.37	NA	NA	NA
RORA-AS1=HsaEX0001538	NA	NA	NA	NA	100.00	NA	NA	NA	92.31	NA	NA	NA
PRR7-AS1=HsaEX0054422	80.98	NA	NA	NA	67.59	NA	NA	NA	88.57	NA	NA	NA
BAALC-AS1=HsaEX0054630	14.29	NA	NA	NA	26.32	NA	NA	NA	15.56	NA	NA	NA
BAALC-AS1=HsaEX0054632	23.12	NA	NA	NA	31.31	NA	NA	NA	12.20	NA	NA	NA
RP11-727A23.5=HsaEX1034639	34.12	NA	41.18	21.21	43.48	37.14	NA	NA	34.29	NA	NA	39.39
RP11-727A23.5=HsaEX1034640	11.11	NA	16.13	3.45	4.76	6.25	7.69	0.00	3.12	NA	NA	0.00
TMEM161B-AS1=HsaEX0017696	55.38	69.70	60.98	42.86	59.41	65.22	59.46	52.54	43.20	37.04	50.00	41.82
TMEM161B-AS1=HsaEX0017697	56.86	64.71	58.33	52.11	52.54	58.06	49.15	50.00	50.54	52.38	54.55	43.86
TMEM161B-AS1=HsaEX0017700	53.56	NA	NA	48.65	44.47	49.54	NA	NA	38.32	NA	39.66	32.40
UBA6-AS1=HsaEX0054858	52.64	NA	41.38	73.91	69.31	69.93	70.73	NA	65.93	82.61	NA	52.23
UBA6-AS1=HsaEX1042682	82.83	NA	92.28	NA	95.29	NA	NA	NA	81.09	NA	NA	NA
UBA6-AS1=HsaEX0054859	41.22	NA	NA	NA	53.79	NA	NA	NA	41.65	NA	NA	NA
LUCAT1=HsaEX1022441	73.87	60.00	69.32	93.75	65.80	61.29	67.40	71.18	66.92	66.38	70.22	64.96
LUCAT1=HsaEX1022442	48.35	NA	NA	NA	40.77	35.14	NA	NA	45.79	NA	NA	39.18
HAS2-AS1=HsaEX0029264	100.00	NA	NA	NA	86.21	NA	NA	NA	90.48	NA	NA	NA
LINC01411=HsaEX1020901	14.91	19.99	11.79	14.55	18.02	12.76	9.84	35.19	19.95	NA	17.22	18.86
LINC01411=HsaEX0054566	56.36	50.03	49.17	67.41	57.66	49.91	58.90	68.66	63.16	69.75	64.70	57.77
LINC01411=HsaEX0054568	70.62	80.86	64.59	70.08	78.66	69.38	79.76	100.00	82.13	86.67	72.85	88.24
LINC01060=HsaEX1020494	93.62	100.00	94.29	87.88	97.30	96.92	100.00	95.00	93.33	80.65	100.00	100.00
CTD-2269F5.1=HsaEX0017757	24.32	NA	NA	NA	16.67	NA	NA	NA	NA	NA	NA	NA
AACSP1=HsaEX1001209	93.36	NA	NA	NA	90.01	100.00	NA	NA	NA	NA	NA	NA
AACSP1=HsaEX1001211	21.50	NA	NA	NA	8.65	NA	NA	NA	NA	NA	NA	NA
AACSP1=HsaEX1001212	26.67	NA	NA	NA	35.48	NA	NA	NA	NA	NA	NA	NA
ATP6V1E2=HsaEX0007008	2.13	NA	0.00	NA	6.54	7.04	NA	5.56	10.95	NA	9.42	15.97
EPHA5-AS1=HsaEX1013251	10.90	NA	NA	NA	23.20	5.75	NA	NA	16.39	NA	9.39	NA
RP11-53O19.1=HsaEX0054991	15.56	NA	NA	NA	17.86	NA	NA	NA	7.69	NA	4.76	9.09
SHANK3=HsaEX6027599	85.30	NA	NA	NA	100.00	NA	NA	NA	93.68	NA	NA	NA
RP11-420A23.1=HsaEX1033507	100.00	NA	NA	NA	100.00	NA	NA	NA	91.15	NA	NA	NA
LINC02055=HsaEX1021676	89.20	NA	84.45	94.29	91.52	91.34	100.00	85.29	91.69	100.00	84.62	92.67
LINC02055=HsaEX1021677	8.14	0.00	11.61	9.17	14.05	14.68	0.00	NA	5.38	6.95	0.00	10.75
RP11-849H4.2=HsaEX1034886	13.64	NA	NA	NA	2.27	3.45	0.00	NA	7.69	9.09	13.04	0.00
RP11-849H4.2=HsaEX1034887	13.21	NA	NA	NA	6.38	9.09	6.38	NA	7.94	0.00	16.67	NA
RP11-849H4.2=HsaEX1034888	70.73	NA	NA	NA	67.12	NA	NA	NA	56.86	NA	NA	NA
RP11-867G23.10=HsaEX1034914	56.45	NA	NA	NA	63.31	66.57	NA	NA	47.32	NA	NA	NA
MIR100HG=HsaEX1023726	19.44	NA	NA	13.33	49.02	NA	NA	NA	25.00	NA	NA	NA
MIR100HG=HsaEX1023728	84.13	72.73	88.26	91.67	96.37	93.11	NA	100.00	93.94	NA	NA	NA
DYX1C1=HsaEX1012580	90.00	70.37	100.00	100.00	93.55	100.00	87.88	90.00	94.64	100.00	95.24	90.91
DYX1C1=HsaEX0021370	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	93.11	79.35	100.00	100.00
DYX1C1=HsaEX6074907	67.21	NA	NA	NA	NA	NA	NA	NA	78.06	NA	NA	NA
ZNF271P=HsaEX0000038	78.11	75.48	73.60	85.34	75.01	75.30	75.71	73.69	84.70	80.14	88.28	85.92
PSMA3-AS1=HsaEX0000048	45.90	52.50	39.02	51.21	46.66	46.18	47.26	46.77	35.08	25.16	36.49	40.39
PSMA3-AS1=HsaEX1029767	43.42	NA	36.63	43.49	38.56	36.56	31.62	47.89	28.17	35.49	24.53	26.70
LINC01629=HsaEX1021216	13.33	NA	NA	NA	21.21	NA	NA	NA	NA	NA	NA	NA
CTD-2341M24.1=HsaEX1010420	4.45	NA	NA	NA	17.95	NA	NA	NA	18.55	NA	NA	NA
CTD-2341M24.1=HsaEX1010421	80.55	NA	NA	NA	100.00	100.00	NA	NA	85.16	NA	NA	NA
RP11-77H9.2=HsaEX1034762	8.57	NA	NA	NA	18.52	NA	NA	NA	4.76	NA	NA	NA
RP11-77H9.2=HsaEX1034763	15.79	NA	NA	NA	22.58	NA	NA	NA	11.11	NA	NA	NA
ERVK13-1=HsaEX1013429	43.33	NA	NA	NA	45.13	45.67	33.33	59.01	46.01	NA	39.76	NA
ERVK13-1=HsaEX1013430	57.54	NA	NA	NA	38.21	38.71	37.43	NA	52.77	NA	39.99	NA
ERVK13-1=HsaEX1013431	13.33	NA	NA	NA	18.07	25.71	11.11	NA	NA	NA	28.57	NA
ERVK13-1=HsaEX1013434	55.10	NA	NA	NA	27.27	13.51	41.18	28.57	32.56	NA	17.95	NA
RP11-482M8.1=HsaEX1033819	100.00	NA	NA	NA	86.12	NA	NA	NA	93.07	NA	NA	NA
CCPG1=HsaEX0013698	NA	NA	NA	NA	NA	NA	NA	35.14	60.00	NA	NA	NA
LINC01572=HsaEX1021140	65.12	NA	NA	NA	77.72	NA	NA	NA	79.24	NA	88.64	NA
LINC01572=HsaEX1021141	15.29	NA	NA	NA	7.97	NA	NA	NA	0.00	NA	0.00	NA
LINC01572=HsaEX1021143	NA	NA	NA	NA	58.21	NA	NA	NA	72.14	NA	NA	NA
GAN=HsaEX0026989	100.00	NA	100.00	NA	97.37	95.24	NA	100.00	82.72	85.19	93.33	66.67
RP11-333E1.1=HsaEX1033038	81.82	NA	NA	NA	68.75	NA	NA	NA	NA	NA	NA	NA
RP11-333E1.1=HsaEX1033039	13.04	NA	NA	NA	10.34	NA	NA	NA	28.57	NA	NA	NA
RP11-333E1.1=HsaEX1033041	100.00	NA	NA	NA	100.00	NA	NA	NA	90.91	NA	NA	NA
LINC01569=HsaEX1021121	100.00	NA	NA	NA	90.01	NA	NA	NA	93.55	NA	NA	NA
TAPT1-AS1=HsaEX1039993	0.00	NA	NA	NA	10.00	12.00	NA	NA	NA	NA	NA	NA
IKBKE=HsaEX0031258	92.16	93.75	86.67	95.00	86.09	90.00	89.19	78.95	95.45	100.00	93.10	93.75
LINC00667=HsaEX1020156	50.00	NA	NA	NA	38.61	NA	27.78	NA	45.83	NA	NA	33.33
ANXA8L1=HsaEX1004023	95.65	NA	100.00	90.48	78.18	88.89	76.00	NA	71.43	NA	NA	NA
ANXA8L1=HsaEX1004026	95.45	NA	NA	90.00	76.47	NA	72.73	NA	75.00	NA	NA	NA
STRADA=HsaEX0062610	50.98	45.45	47.23	61.53	41.17	38.32	40.16	47.06	44.50	36.93	48.39	48.48
STRADA=HsaEX0062608	83.19	72.88	91.67	80.72	88.85	84.13	90.74	93.26	84.46	93.33	78.64	82.52
RP11-476K15.1=HsaEX1033784	57.89	NA	NA	NA	87.50	NA	NA	NA	54.29	NA	NA	NA
RP11-242D8.1=HsaEX1032597	5.88	NA	NA	0.00	16.28	NA	NA	NA	4.35	NA	NA	NA
ASB16-AS1=HsaEX0009799	46.03	NA	59.32	NA	38.48	28.21	36.16	NA	29.61	NA	26.25	31.43
ASB16-AS1=HsaEX1004806	15.28	NA	NA	NA	19.22	NA	15.23	22.66	6.80	NA	NA	5.06
MAP3K14-AS1=HsaEX1022793	9.34	NA	NA	NA	0.00	NA	NA	NA	NA	NA	NA	NA
AC002116.7=HsaEX1001511	85.45	88.89	80.00	NA	80.52	85.00	92.16	68.25	82.09	85.00	82.98	78.72
LIN37=HsaEX0035861	92.78	91.80	94.74	91.73	83.09	77.36	94.14	80.06	81.11	79.10	82.24	81.81
FENDRR=HsaEX1014432	62.61	NA	53.22	NA	61.43	67.99	57.04	NA	59.04	51.51	NA	55.34
FENDRR=HsaEX1014433	30.39	NA	19.53	NA	25.62	31.28	22.53	22.56	34.50	32.68	NA	29.19
FENDRR=HsaEX1014435	46.73	NA	61.48	36.55	30.43	21.61	38.92	33.20	34.94	42.08	NA	33.03
FENDRR=HsaEX1014436	68.84	72.35	70.20	65.03	68.03	58.94	74.14	71.79	79.05	82.44	92.94	65.48
TRABD2B=HsaEX0055000	97.48	95.49	96.73	100.00	88.04	89.06	86.72	88.11	90.64	82.78	93.58	93.57
PTOV1-AS2=HsaEX1029962	31.05	32.73	32.85	27.80	24.93	19.10	28.44	29.26	31.38	36.53	22.94	35.06
RP11-355B11.2=HsaEX1033113	2.70	NA	NA	NA	13.51	NA	NA	NA	5.26	0.00	NA	NA
RP11-479O9.4=HsaEX1033801	62.56	NA	NA	NA	73.10	79.52	NA	NA	59.68	NA	NA	NA
CTD-2303H24.2=HsaEX1010385	66.67	NA	NA	NA	59.69	NA	NA	NA	55.10	NA	NA	NA
GATSL2=HsaEX0001579	98.23	100.00	100.00	95.35	86.01	82.14	86.36	90.70	92.00	93.55	87.10	94.74
SOCS7=HsaEX0060943	42.03	58.82	38.10	35.48	40.67	43.66	46.97	32.26	45.76	52.30	34.78	50.00
RCC1L=HsaEX1030952	25.00	NA	NA	NA	22.22	NA	NA	NA	37.78	NA	NA	NA
TBC1D3I=HsaEX1040129	77.89	93.90	75.91	69.92	83.93	97.11	82.89	65.90	77.98	96.89	69.60	65.11
TBC1D3I=HsaEX1040130	87.79	94.78	95.28	76.19	94.25	93.54	93.20	96.24	93.57	86.29	95.75	100.00
SYNRG=HsaEX0063237	42.11	48.28	48.15	32.58	50.00	57.28	34.25	57.14	51.52	67.86	52.54	39.76
ZNF2=HsaEX0073164	71.93	NA	72.73	NA	86.30	100.00	79.31	NA	60.53	NA	NA	66.67
ARHGAP23=HsaEX0005451	64.24	61.43	58.62	71.70	56.80	51.35	60.38	59.79	56.51	58.34	50.89	61.14
LINC00869=HsaEX1020257	NA	NA	NA	NA	12.19	0.00	15.71	NA	3.95	6.25	NA	4.20
LINC00869=HsaEX1020259	NA	NA	NA	NA	31.11	NA	14.38	NA	37.13	NA	NA	NA
RDM1=HsaEX0052949	71.43	NA	NA	NA	88.24	NA	NA	NA	70.37	NA	NA	NA
ACACA=HsaEX0001666	NA	NA	NA	NA	18.90	NA	34.78	NA	19.74	21.28	NA	NA
CCDC163=HsaEX0013139	68.18	NA	NA	NA	64.18	78.95	51.52	NA	61.29	NA	NA	NA
CCDC163=HsaEX0013141	56.96	NA	NA	65.71	69.44	66.67	NA	65.22	62.50	NA	57.58	75.00
RP13-349O20.2=HsaEX0035950	46.98	NA	NA	NA	57.05	62.50	NA	NA	53.33	NA	NA	61.29
RP13-349O20.2=HsaEX0035952	88.68	NA	89.75	90.01	93.47	91.97	NA	100.00	70.72	76.09	NA	NA
RP13-349O20.2=HsaEX0035953	40.44	NA	NA	NA	14.66	NA	NA	11.00	20.10	22.54	NA	NA
LLNLR-245B6.1=HsaEX1021886	54.46	54.17	59.09	48.48	47.94	37.70	53.06	55.79	51.52	46.48	58.62	47.95
ABC13-47488600E17.1=HsaEX1001262	4.76	NA	NA	NA	21.21	NA	NA	NA	NA	NA	NA	NA
DGCR5=HsaEX0019360	96.50	100.00	NA	90.71	98.36	100.00	100.00	NA	86.54	NA	NA	NA
RP11-204M4.4=HsaEX1032480	55.34	NA	NA	45.56	60.30	62.30	NA	NA	NA	NA	NA	NA
RP11-204M4.4=HsaEX1032479	33.49	27.83	30.57	40.03	37.96	31.00	56.71	30.43	31.35	30.77	34.52	29.14
=HsaEX1000106	75.00	NA	NA	NA	57.58	NA	NA	NA	NA	NA	NA	NA
=HsaEX1000110	4.35	NA	NA	NA	14.29	NA	NA	NA	4.35	NA	NA	NA
=HsaEX1000114	9.09	NA	NA	NA	21.43	NA	NA	NA	12.00	NA	NA	NA
=HsaEX1000115	90.91	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
=HsaEX1000204	90.00	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
=HsaEX1000205	54.17	NA	NA	NA	61.70	73.91	NA	NA	52.94	NA	NA	NA
=HsaEX1000223	10.84	20.00	16.67	0.00	12.20	18.92	12.20	6.67	17.53	12.00	20.00	19.05
=HsaEX1000301	0.00	NA	NA	NA	26.84	NA	NA	NA	0.00	NA	NA	NA
=HsaEX1000519	NA	NA	NA	NA	81.69	NA	NA	NA	92.28	NA	NA	NA
=HsaEX1000564	87.69	NA	NA	93.55	75.56	84.21	67.57	NA	63.66	NA	NA	NA
=HsaEX1000565	31.82	NA	NA	NA	12.28	8.33	16.67	NA	7.67	NA	NA	NA
=HsaEX1000566	0.00	0.00	NA	0.00	0.00	0.00	0.00	NA	13.31	NA	NA	NA
=HsaEX0074394	82.70	NA	NA	NA	95.38	100.00	NA	NA	87.88	NA	NA	NA
=HsaEX0062209	87.45	88.89	85.58	88.58	81.90	87.11	76.36	82.29	77.62	80.30	70.61	84.43
=HsaEX1000737	76.11	79.11	61.80	89.73	74.09	67.23	72.75	84.99	65.75	47.11	83.81	70.12
=HsaEX1000738	63.91	NA	NA	NA	53.68	NA	NA	NA	NA	NA	NA	NA
=HsaEX1000739	94.21	NA	100.00	NA	93.88	90.07	NA	NA	84.19	NA	NA	NA
=HsaEX0055397	25.30	NA	NA	24.16	15.68	16.69	23.56	8.62	12.07	9.18	NA	12.11
=HsaEX0055399	87.24	NA	88.33	85.08	84.84	79.51	86.76	89.21	82.05	78.56	100.00	72.39
=HsaEX0055400	91.70	85.64	100.00	86.39	92.31	94.00	91.67	91.11	98.39	96.31	100.00	100.00
=HsaEX0055498	15.38	NA	NA	NA	48.03	NA	NA	NA	NA	NA	NA	NA
=HsaEX1000773	NA	NA	NA	NA	24.09	NA	NA	NA	45.45	NA	NA	NA
=HsaEX0056373	16.42	15.38	4.76	NA	13.58	12.20	0.00	NA	17.89	17.24	16.67	19.05
=HsaEX0001237	29.41	NA	39.91	20.72	30.26	39.84	24.02	26.21	42.32	NA	30.31	NA
=HsaEX0001238	51.66	NA	NA	45.80	48.66	54.33	39.90	52.35	68.03	72.45	66.62	66.20
=HsaEX1000866	100.00	NA	NA	NA	100.00	NA	NA	NA	90.48	NA	NA	NA
=HsaEX0054663	15.71	23.35	14.96	9.84	22.10	19.40	22.39	26.10	17.95	12.83	19.14	25.79
=HsaEX0054665	82.99	75.94	95.56	79.43	84.47	88.49	81.27	82.00	85.08	82.68	95.09	80.37
=HsaEX1000878	40.79	35.90	40.19	45.65	42.86	50.00	41.27	36.13	45.78	43.59	56.10	37.40
=HsaEX1000880	68.42	63.89	65.22	75.90	63.20	63.93	59.63	66.04	61.97	70.00	62.89	55.14
=HsaEX1000959	86.32	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA
=HsaEX0057275	91.84	NA	NA	NA	100.00	NA	NA	NA	82.35	NA	NA	NA
=HsaEX0048689	26.79	NA	NA	NA	48.69	NA	NA	NA	26.58	NA	NA	NA
=HsaEX1001073	NA	NA	NA	NA	43.75	29.78	NA	NA	55.92	NA	NA	NA
=HsaEX1001074	NA	NA	NA	NA	20.59	13.51	NA	NA	NA	NA	NA	NA
=HsaEX0028790	58.92	59.27	53.92	63.19	47.38	48.21	43.46	51.25	54.01	45.97	68.54	48.46
=HsaEX1001079	100.00	100.00	100.00	100.00	91.76	98.19	81.39	97.60	98.36	98.77	98.72	97.63
=HsaEX0023330	25.68	NA	NA	19.67	22.57	17.46	NA	NA	27.54	NA	14.13	NA
CFH=HsaEX0014923	79.85	NA	NA	NA	91.19	NA	NA	NA	NA	NA	NA	NA
KRIT1=HsaEX1019178	26.61	25.81	29.40	25.17	13.82	15.86	14.59	13.15	21.01	NA	11.91	20.93
MAD1L1=HsaEX0037193	95.29	93.41	95.62	96.12	94.52	100.00	89.45	93.08	83.74	80.19	74.84	95.87
SNX11=HsaEX0060772	17.46	16.56	25.54	8.66	10.36	16.20	7.43	6.61	6.02	8.16	4.27	5.61
NDUFAF7=HsaEX0010727	76.54	61.96	78.32	87.81	78.94	70.41	84.21	82.98	82.70	100.00	79.01	73.53
CAMKK1=HsaEX0012253	90.03	96.80	80.06	92.00	83.11	84.35	81.25	NA	79.22	82.72	70.44	84.85
ARHGAP33=HsaEX0005504	91.60	NA	NA	NA	91.78	100.00	100.00	78.17	83.99	NA	83.59	NA
PRKAR2B=HsaEX0050127	90.76	NA	90.29	86.51	91.86	94.64	100.00	83.13	91.17	100.00	89.03	88.38
KMT2E=HsaEX0039508	15.58	23.38	14.13	12.34	9.56	11.77	13.36	4.30	8.01	7.84	6.61	10.18
ZNF195=HsaEX0073151	62.58	73.79	58.77	58.73	64.54	66.00	66.52	59.46	60.01	67.38	53.11	58.67
ZFX=HsaEX0072709	19.93	13.09	29.47	15.38	25.16	22.69	23.63	29.79	19.20	16.44	22.41	18.52
OSBPL7=HsaEX0044932	93.96	83.43	100.00	100.00	83.33	76.22	100.00	NA	89.43	92.58	85.47	93.12
ZNF263=HsaEX0073279	60.66	61.64	50.72	63.28	57.10	66.00	52.94	50.59	55.29	55.08	47.87	63.11
FARP2=HsaEX6019684	100.00	NA	NA	NA	94.81	88.78	NA	NA	100.00	NA	NA	NA
ARHGAP44=HsaEX0005533	60.41	51.59	72.00	61.91	54.92	52.29	47.97	52.92	59.60	56.43	68.84	52.68
ARHGAP44=HsaEX0005536	38.60	NA	38.21	39.07	41.81	51.59	33.58	36.95	35.04	36.18	31.42	37.39
PAX6=HsaEX0045713	83.19	63.14	100.00	NA	91.34	100.00	NA	NA	90.29	NA	100.00	NA
ADAM22=HsaEX0002317	77.31	76.69	82.36	75.16	88.80	79.43	94.83	94.97	80.06	82.70	80.49	78.67
ST3GAL1=HsaEX0061943	90.33	96.48	88.74	87.84	88.41	97.50	73.85	86.96	100.00	NA	100.00	100.00
TENM1=HsaEX0044619	100.00	NA	NA	NA	94.22	NA	NA	NA	88.49	NA	NA	NA
TENM1=HsaEX1040421	19.95	NA	NA	NA	5.51	NA	NA	NA	NA	NA	NA	NA
