"GROUP"	"Gene Ontology"	"Term"	"-log10.p-value"
"TAF2_INTRONS"	"Cellular Component"	"Slx1-Slx4 complex"	1.808420849761989
"TAF2_INTRONS"	"Biological Process"	"fibroblast growth factor receptor apoptotic signaling pathway"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"positive regulation of heterotypic cell-cell adhesion"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"positive regulation of cell communication by electrical coupling"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"response to capsazepine"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"forebrain-midbrain boundary formation"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"pancreatic A cell development"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"CD80 biosynthetic process"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"malonate catabolic process"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"sensory neuron migration"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"positive regulation of membrane depolarization during cardiac muscle cell action potential"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"positive regulation of antigen processing and presentation"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"coumarin metabolic process"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"negative regulation of macropinocytosis"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"glucuronoside transport"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"isoquinoline alkaloid metabolic process"	1.8071753560425359
"TAF2_INTRONS"	"Biological Process"	"negative regulation of cellular organofluorine metabolic process"	1.8071753560425359
"TAF2_INTRONS"	"Molecular Function"	"transaminase activity"	1.7977122917522592
"TAF2_INTRONS"	"Biological Process"	"bone maturation"	1.7741720103646685
"TAF2_INTRONS"	"Biological Process"	"3'-UTR-mediated mRNA destabilization"	1.7116387971659426
"TAF2_INTRONS"	"Biological Process"	"defense response to Gram-negative bacterium"	1.6538988586626902
"TAF2_INTRONS"	"Cellular Component"	"neuromuscular junction"	1.5660148629117754
"TAF2_INTRONS"	"Cellular Component"	"chloride channel complex"	1.5525777579222542
"TAF2_INTRONS"	"Cellular Component"	"pi-body"	1.5107568735756856
"TAF2_INTRONS"	"Biological Process"	"semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"regulation of asymmetric cell division"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"cellular response to magnesium ion"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"cell differentiation involved in salivary gland development"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"regulation of high-density lipoprotein particle assembly"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"negative regulation of lymphangiogenesis"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"maintenance of protein location in plasma membrane"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"negative regulation of protein refolding"	1.5095202920690638
"TAF2_INTRONS"	"Biological Process"	"positive regulation of cell fate specification"	1.5095202920690638
"TAF2_INTRONS"	"Molecular Function"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	1.4147766789977445
"TAF2_INTRONS"	"Molecular Function"	"cis-regulatory region sequence-specific DNA binding"	1.4003197176234252
"TAF2_INTRONS"	"Molecular Function"	"peptidoglycan binding"	1.3490648255237674
"TAF2_INTRONS"	"Molecular Function"	"apolipoprotein A-I binding"	1.3490648255237674
"TAF2_INTRONS"	"Molecular Function"	"translation release factor activity, codon specific"	1.3490648255237674
"TAF2_INTRONS"	"Molecular Function"	"laminin receptor activity"	1.3490648255237674
"TAF2_INTRONS"	"Molecular Function"	"beta-galactosidase activity"	1.3490648255237674
"TAF2_INTRONS"	"Molecular Function"	"ATP-dependent diacylglycerol kinase activity"	1.3490648255237674
"TAF2_INTRONS"	"Cellular Component"	"axon initial segment"	1.3380231050274372
"TAF2_INTRONS"	"Cellular Component"	"endodeoxyribonuclease complex"	1.3380231050274372
"TAF2_INTRONS"	"Biological Process"	"endoplasmic reticulum tubular network membrane organization"	1.3367953986366372
"TAF2_INTRONS"	"Biological Process"	"protein unfolding"	1.3367953986366372
"TAF2_INTRONS"	"Cellular Component"	"sarcoplasm"	1.3298651870480585
"TAF2_INTRONS"	"Biological Process"	"positive regulation of neural precursor cell proliferation"	1.3070278718178887
"∆IDR_INTRONS"	"Molecular Function"	"gated channel activity"	8.701297474105713
"∆IDR_INTRONS"	"Cellular Component"	"transmembrane transporter complex"	5.920805336206758
"∆IDR_INTRONS"	"Cellular Component"	"cell periphery"	5.47012298406251
"∆IDR_INTRONS"	"Biological Process"	"transmembrane transport"	4.121703103363139
"∆IDR_INTRONS"	"Biological Process"	"monoatomic ion transmembrane transport"	3.776437224098813
"∆IDR_INTRONS"	"Cellular Component"	"plasma membrane protein complex"	3.7166414004038093
"∆IDR_INTRONS"	"Biological Process"	"forebrain generation of neurons"	3.2528552620833984
"∆IDR_INTRONS"	"Biological Process"	"forebrain dorsal/ventral pattern formation"	3.2130952965203723
"∆IDR_INTRONS"	"Biological Process"	"behavior"	3.1976342626781262
"∆IDR_INTRONS"	"Biological Process"	"regulation of membrane potential"	3.0120414587328153
"∆IDR_INTRONS"	"Molecular Function"	"inorganic anion transmembrane transporter activity"	2.9834346504277804
"∆IDR_INTRONS"	"Molecular Function"	"neurotransmitter receptor activity"	2.9764807465923275
"∆IDR_INTRONS"	"Cellular Component"	"GABA receptor complex"	2.916160980698672
"∆IDR_INTRONS"	"Biological Process"	"chloride transmembrane transport"	2.914198791162955
"∆IDR_INTRONS"	"Cellular Component"	"postsynaptic membrane"	2.834084455290403
"∆IDR_INTRONS"	"Biological Process"	"cellular response to organonitrogen compound"	2.750101968896904
"∆IDR_INTRONS"	"Molecular Function"	"arrestin family protein binding"	2.7295072431918315
"∆IDR_INTRONS"	"Biological Process"	"piRNA processing"	2.6984599104843867
"∆IDR_INTRONS"	"Biological Process"	"cellular response to macrophage colony-stimulating factor stimulus"	2.6984599104843867
"∆IDR_INTRONS"	"Cellular Component"	"neuron projection membrane"	2.6910423266411354
"∆IDR_INTRONS"	"Molecular Function"	"phosphatidyl phospholipase B activity"	2.5573836559041427
"∆IDR_INTRONS"	"Biological Process"	"gamma-aminobutyric acid signaling pathway"	2.526483380794721
"∆IDR_INTRONS"	"Biological Process"	"interleukin-1 beta production"	2.482955462558695
"∆IDR_INTRONS"	"Biological Process"	"mineralocorticoid metabolic process"	2.384465426123319
"∆IDR_INTRONS"	"Molecular Function"	"CARD domain binding"	2.2942392696937572
"∆IDR_INTRONS"	"Biological Process"	"primary alcohol biosynthetic process"	2.2636321110599233
"∆IDR_INTRONS"	"Cellular Component"	"germ plasm"	2.2636110824174778
"∆IDR_INTRONS"	"Biological Process"	"intracellular sodium ion homeostasis"	2.1585883926465366
"∆IDR_INTRONS"	"Molecular Function"	"metallocarboxypeptidase activity"	2.096089830411222
"∆IDR_INTRONS"	"Biological Process"	"semaphorin-plexin signaling pathway involved in axon guidance"	2.065774449077645
"∆IDR_INTRONS"	"Molecular Function"	"cAMP binding"	2.012885647906387
"∆IDR_INTRONS"	"Cellular Component"	"ciliary base"	2.00918158831251
"∆IDR_INTRONS"	"Molecular Function"	"lipid binding"	1.9606184418959316
"∆IDR_INTRONS"	"Biological Process"	"system process"	1.929762839276113
"∆IDR_INTRONS"	"Biological Process"	"aldehyde biosynthetic process"	1.9076210774778122
"∆IDR_INTRONS"	"Biological Process"	"negative regulation of chondrocyte differentiation"	1.9076210774778122
"∆IDR_INTRONS"	"Molecular Function"	"spectrin binding"	1.8690326151340495
"∆IDR_INTRONS"	"Molecular Function"	"transaminase activity"	1.8690326151340495
"∆IDR_INTRONS"	"Molecular Function"	"advanced glycation end-product receptor activity"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"adenine/guanine mispair binding"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"glucuronoside transmembrane transporter activity"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"UDP-glucose 4-epimerase activity"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"alkenylglycerophosphoethanolamine hydrolase activity"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"rRNA (uridine-N3-)-methyltransferase activity"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"ceramide floppase activity"	1.8571482781965203
"∆IDR_INTRONS"	"Molecular Function"	"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"	1.8571482781965203
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of low-density lipoprotein particle receptor catabolic process"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of heterotypic cell-cell adhesion"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"desensitization of G protein-coupled receptor signaling pathway by arrestin"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"lateral semicircular canal development"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"negative regulation of telomerase RNA reverse transcriptase activity"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of cell communication by electrical coupling"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"tricuspid valve formation"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"glucuronoside transport"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"ceramide translocation"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"cellular response to Thyroglobulin triiodothyronine"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"larynx development"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of antigen processing and presentation"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"negative regulation of mast cell differentiation"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"lateral ganglionic eminence cell proliferation"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"epinephrine secretion"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"protein branching point deglutamylation"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of transcription from RNA polymerase II promoter by galactose"	1.8414163562342136
"∆IDR_INTRONS"	"Biological Process"	"olefinic compound biosynthetic process"	1.8391523691428175
"∆IDR_INTRONS"	"Cellular Component"	"postsynapse"	1.8008578205566814
"∆IDR_INTRONS"	"Biological Process"	"regulation of receptor-mediated endocytosis"	1.7617727261794138
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of ERK1 and ERK2 cascade"	1.642252683464731
"∆IDR_INTRONS"	"Molecular Function"	"histone acetyltransferase binding"	1.5960560798217998
"∆IDR_INTRONS"	"Biological Process"	"glycerophospholipid catabolic process"	1.566894237195698
"∆IDR_INTRONS"	"Molecular Function"	"delta14-sterol reductase activity"	1.5591231528225387
"∆IDR_INTRONS"	"Molecular Function"	"mu-type opioid receptor binding"	1.5591231528225387
"∆IDR_INTRONS"	"Biological Process"	"cellular response to magnesium ion"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"optic nerve morphogenesis"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"negative regulation of cGMP-mediated signaling"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of acrosome reaction"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"cell differentiation involved in salivary gland development"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"behavioral response to nicotine"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"maintenance of protein location in plasma membrane"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"smoothened signaling pathway involved in spinal cord motor neuron cell fate specification"	1.5435026655158233
"∆IDR_INTRONS"	"Biological Process"	"oligosaccharide transport"	1.5435026655158233
"∆IDR_INTRONS"	"Cellular Component"	"membrane"	1.5078438238729892
"∆IDR_INTRONS"	"Biological Process"	"collagen metabolic process"	1.5006372705965598
"∆IDR_INTRONS"	"Cellular Component"	"heterotrimeric G-protein complex"	1.441513165684511
"∆IDR_INTRONS"	"Molecular Function"	"extracellular matrix protein binding"	1.3860299975434096
"∆IDR_INTRONS"	"Molecular Function"	"NAD DNA ADP-ribosyltransferase activity"	1.3860299975434096
"∆IDR_INTRONS"	"Molecular Function"	"peptidoglycan binding"	1.3860299975434096
"∆IDR_INTRONS"	"Molecular Function"	"laminin receptor activity"	1.3860299975434096
"∆IDR_INTRONS"	"Molecular Function"	"ATP-dependent diacylglycerol kinase activity"	1.3860299975434096
"∆IDR_INTRONS"	"Molecular Function"	"Rho GDP-dissociation inhibitor binding"	1.3860299975434096
"∆IDR_INTRONS"	"Biological Process"	"cilium movement"	1.370846697392094
"∆IDR_INTRONS"	"Cellular Component"	"GLI-SUFU complex"	1.3705651023164083
"∆IDR_INTRONS"	"Cellular Component"	"chromatin lock complex"	1.3705651023164083
"∆IDR_INTRONS"	"Cellular Component"	"cytoophidium"	1.3705651023164083
"∆IDR_INTRONS"	"Biological Process"	"endoplasmic reticulum tubular network membrane organization"	1.3705204299976845
"∆IDR_INTRONS"	"Biological Process"	"acinar cell differentiation"	1.3705204299976845
"∆IDR_INTRONS"	"Biological Process"	"response to blue light"	1.3705204299976845
"∆IDR_INTRONS"	"Biological Process"	"positive regulation of monocyte extravasation"	1.3705204299976845
"∆IDR_INTRONS"	"Biological Process"	"detection of other organism"	1.3705204299976845
"∆IDR_INTRONS"	"Biological Process"	"DNA repair complex assembly"	1.3705204299976845
"SRRM2_INTRONS"	"Biological Process"	"synaptic signaling"	3.5910514772632602
"SRRM2_INTRONS"	"Biological Process"	"antigen receptor-mediated signaling pathway"	3.28153207149971
"SRRM2_INTRONS"	"Cellular Component"	"ATP-binding cassette (ABC) transporter complex"	3.2618857039546465
"SRRM2_INTRONS"	"Molecular Function"	"transmembrane signaling receptor activity"	3.2475988187772797
"SRRM2_INTRONS"	"Biological Process"	"detection of chemical stimulus involved in sensory perception of pain"	3.230275381807276
"SRRM2_INTRONS"	"Molecular Function"	"gated channel activity"	3.1798768585529493
"SRRM2_INTRONS"	"Biological Process"	"acylglycerol metabolic process"	3.1417641170949953
"SRRM2_INTRONS"	"Biological Process"	"iron coordination entity transport"	3.13940818592322
"SRRM2_INTRONS"	"Biological Process"	"adenylate cyclase-activating adrenergic receptor signaling pathway"	3.13940818592322
"SRRM2_INTRONS"	"Molecular Function"	"adenyl nucleotide binding"	3.0537289162464476
"SRRM2_INTRONS"	"Cellular Component"	"RQC complex"	2.7915454495508407
"SRRM2_INTRONS"	"Cellular Component"	"laminin-11 complex"	2.7915454495508407
"SRRM2_INTRONS"	"Molecular Function"	"ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity"	2.7884507663803935
"SRRM2_INTRONS"	"Biological Process"	"penile erection"	2.76018853926195
"SRRM2_INTRONS"	"Biological Process"	"G protein-coupled purinergic receptor signaling pathway"	2.76018853926195
"SRRM2_INTRONS"	"Biological Process"	"response to interleukin-17"	2.693607949531977
"SRRM2_INTRONS"	"Cellular Component"	"dendrite membrane"	2.621364366119971
"SRRM2_INTRONS"	"Cellular Component"	"omegasome membrane"	2.4972835411806122
"SRRM2_INTRONS"	"Molecular Function"	"mismatch base pair DNA N-glycosylase activity"	2.494213155210648
"SRRM2_INTRONS"	"Biological Process"	"negative regulation of protein ADP-ribosylation"	2.4661790509568986
"SRRM2_INTRONS"	"Molecular Function"	"anion binding"	2.4318527383964805
"SRRM2_INTRONS"	"Cellular Component"	"endolysosome membrane"	2.3283257207813617
"SRRM2_INTRONS"	"Molecular Function"	"purine ribonucleotide binding"	2.3156098428050553
"SRRM2_INTRONS"	"Biological Process"	"neuromuscular junction development"	2.300055458559805
"SRRM2_INTRONS"	"Cellular Component"	"cell periphery"	2.294904064843777
"SRRM2_INTRONS"	"Cellular Component"	"plasma membrane bounded cell projection"	2.268268630241993
"SRRM2_INTRONS"	"Biological Process"	"regulation of postsynaptic membrane potential"	2.2653350004797153
"SRRM2_INTRONS"	"Molecular Function"	"small molecule binding"	2.2525561281739717
"SRRM2_INTRONS"	"Biological Process"	"global gene silencing by mRNA cleavage"	2.2513368524598194
"SRRM2_INTRONS"	"Cellular Component"	"receptor complex"	2.2510994033294787
"SRRM2_INTRONS"	"Biological Process"	"cellular response to nerve growth factor stimulus"	2.24612547514734
"SRRM2_INTRONS"	"Biological Process"	"liver development"	2.208508486283892
"SRRM2_INTRONS"	"Molecular Function"	"MutSalpha complex binding"	2.109818716064665
"SRRM2_INTRONS"	"Biological Process"	"regulation of mitochondrial mRNA stability"	2.082238137143876
"SRRM2_INTRONS"	"Biological Process"	"negative regulation of calcium ion-dependent exocytosis"	2.082238137143876
"SRRM2_INTRONS"	"Biological Process"	"microglial cell activation"	2.053896008248578
"SRRM2_INTRONS"	"Biological Process"	"mitochondrial RNA processing"	2.053896008248578
"SRRM2_INTRONS"	"Biological Process"	"negative regulation of cold-induced thermogenesis"	2.0504641190765134
"SRRM2_INTRONS"	"Cellular Component"	"plasma membrane protein complex"	2.0231485560168907
"SRRM2_INTRONS"	"Cellular Component"	"apical plasma membrane"	2.0070010432777825
"SRRM2_INTRONS"	"Biological Process"	"gland development"	1.9893450107070003
"SRRM2_INTRONS"	"Biological Process"	"sensory perception of chemical stimulus"	1.9870090526426425
"SRRM2_INTRONS"	"Molecular Function"	"cAMP response element binding protein binding"	1.9704437729835824
"SRRM2_INTRONS"	"Molecular Function"	"heme transmembrane transporter activity"	1.9704437729835824
"SRRM2_INTRONS"	"Biological Process"	"central nervous system development"	1.968206033666772
"SRRM2_INTRONS"	"Biological Process"	"camera-type eye photoreceptor cell differentiation"	1.9430885869775032
"SRRM2_INTRONS"	"Biological Process"	"heat generation"	1.9430885869775032
"SRRM2_INTRONS"	"Molecular Function"	"extracellular matrix structural constituent"	1.9399040748230088
"SRRM2_INTRONS"	"Cellular Component"	"synaptic cleft"	1.855219061441377
"SRRM2_INTRONS"	"Cellular Component"	"Fanconi anaemia nuclear complex"	1.855219061441377
"SRRM2_INTRONS"	"Biological Process"	"cell surface receptor signaling pathway"	1.8526848549335038
"SRRM2_INTRONS"	"Molecular Function"	"amide transmembrane transporter activity"	1.8469634997568796
"SRRM2_INTRONS"	"Biological Process"	"induction of positive chemotaxis"	1.8251142271036123
"SRRM2_INTRONS"	"Biological Process"	"assembly of actomyosin apparatus involved in cytokinesis"	1.8251142271036123
"SRRM2_INTRONS"	"Biological Process"	"bone remodeling"	1.8048495019139559
"SRRM2_INTRONS"	"Molecular Function"	"guanyl-nucleotide exchange factor activity"	1.7927670560466515
"SRRM2_INTRONS"	"Biological Process"	"mitral valve development"	1.7229199753918645
"SRRM2_INTRONS"	"Biological Process"	"left/right axis specification"	1.7229199753918645
"SRRM2_INTRONS"	"Biological Process"	"G protein-coupled acetylcholine receptor signaling pathway"	1.7229199753918645
"SRRM2_INTRONS"	"Biological Process"	"regulation of DNA-directed DNA polymerase activity"	1.7229199753918645
"SRRM2_INTRONS"	"Biological Process"	"cholesterol transport"	1.712600502308348
"SRRM2_INTRONS"	"Molecular Function"	"GTPase binding"	1.6625091819149904
"SRRM2_INTRONS"	"Molecular Function"	"adrenergic receptor binding"	1.659630513929263
"SRRM2_INTRONS"	"Molecular Function"	"carbon-sulfur lyase activity"	1.659630513929263
"SRRM2_INTRONS"	"Biological Process"	"regulation of mitotic nuclear division"	1.6551497885913902
"SRRM2_INTRONS"	"Biological Process"	"developmental growth involved in morphogenesis"	1.6498431457814067
"SRRM2_INTRONS"	"Biological Process"	"peptide cross-linking"	1.6329459711455725
"SRRM2_INTRONS"	"Biological Process"	"response to acidic pH"	1.6329459711455725
"SRRM2_INTRONS"	"Biological Process"	"regulation of pinocytosis"	1.6329459711455725
"SRRM2_INTRONS"	"Cellular Component"	"USH2 complex"	1.6299982274850406
"SRRM2_INTRONS"	"Cellular Component"	"growing cell tip"	1.6299982274850406
"SRRM2_INTRONS"	"Cellular Component"	"perinucleolar chromocenter"	1.6299982274850406
"SRRM2_INTRONS"	"Cellular Component"	"extrinsic component of phagophore assembly site membrane"	1.6299982274850406
"SRRM2_INTRONS"	"Molecular Function"	"myosin VI light chain binding"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"advanced glycation end-product receptor activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"glutamine-phenylpyruvate transaminase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"2'-deoxyadenosine deaminase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"mitochondrial ribosomal large subunit rRNA binding"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"SAM domain binding"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"alpha-amino-acid esterase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"5'-3' DNA/RNA helicase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"4-hydroxyphenylpyruvate dioxygenase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"tetrahydrofolylpolyglutamate synthase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"Ras palmitoyltransferase activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"adenine/guanine mispair binding"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"apolipoprotein A-I receptor activity"	1.628434546822784
"SRRM2_INTRONS"	"Molecular Function"	"enterobactin transmembrane transporter activity"	1.628434546822784
"SRRM2_INTRONS"	"Biological Process"	"cell communication"	1.624455246279634
"SRRM2_INTRONS"	"Cellular Component"	"synapse"	1.6208242215307582
"SRRM2_INTRONS"	"Molecular Function"	"protein self-association"	1.6169191106697494
"SRRM2_INTRONS"	"Biological Process"	"protein O-GlcNAcylation via threonine"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"protein sulfhydration"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"positive regulation of heterotypic cell-cell adhesion"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"response to chlorate"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"chromosome passenger complex localization to spindle midzone"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"peptidyl-lysine glutarylation"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"positive regulation of germinal center formation"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"primary palate development"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"intestinal folate absorption"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"regulation of myosin II filament organization"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"xanthine biosynthetic process"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"protein-pyridoxal-5-phosphate linkage"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"vagus nerve development"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"positive regulation of eye pigmentation"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"rod bipolar cell differentiation"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"tetrahydrofolylpolyglutamate biosynthetic process"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"metanephric glomerular basement membrane development"	1.6141939049775635
"SRRM2_INTRONS"	"Biological Process"	"endothelin production"	1.6141939049775635
"SRRM2_INTRONS"	"Cellular Component"	"somatodendritic compartment"	1.5604206822955964
"SRRM2_INTRONS"	"Biological Process"	"cholesterol metabolic process"	1.4935327525950053
"SRRM2_INTRONS"	"Biological Process"	"mating"	1.480443741935094
"SRRM2_INTRONS"	"Biological Process"	"endosomal vesicle fusion"	1.480443741935094
"SRRM2_INTRONS"	"Cellular Component"	"phagocytic cup"	1.4436643701346836
"SRRM2_INTRONS"	"Biological Process"	"positive regulation of epidermis development"	1.414786160350522
"SRRM2_INTRONS"	"Biological Process"	"apoptotic process involved in morphogenesis"	1.414786160350522
"SRRM2_INTRONS"	"Biological Process"	"lung alveolus development"	1.4127949940095523
"SRRM2_INTRONS"	"Cellular Component"	"ribonucleoprotein granule"	1.4099190803128423
"SRRM2_INTRONS"	"Biological Process"	"protein tetramerization"	1.378998610822065
"SRRM2_INTRONS"	"Molecular Function"	"RNA polymerase II general transcription initiation factor activity"	1.3464250501576909
"SRRM2_INTRONS"	"Cellular Component"	"PCSK9-AnxA2 complex"	1.3340663914001485
"SRRM2_INTRONS"	"Cellular Component"	"PCSK9-LDLR complex"	1.3340663914001485
"SRRM2_INTRONS"	"Cellular Component"	"3M complex"	1.3340663914001485
"SRRM2_INTRONS"	"Cellular Component"	"BLOC-3 complex"	1.3340663914001485
"SRRM2_INTRONS"	"Cellular Component"	"stereocilia ankle link complex"	1.3340663914001485
"SRRM2_INTRONS"	"Molecular Function"	"inhibin binding"	1.332521110297725
"SRRM2_INTRONS"	"Molecular Function"	"purine nucleoside transmembrane transporter activity"	1.332521110297725
"SRRM2_INTRONS"	"Molecular Function"	"sterol response element binding"	1.332521110297725
"SRRM2_INTRONS"	"Biological Process"	"establishment of blood-retinal barrier"	1.3184521875241435
"SRRM2_INTRONS"	"Biological Process"	"response to Gram-positive bacterium"	1.3184521875241435
"SRRM2_INTRONS"	"Biological Process"	"Norrin signaling pathway"	1.3184521875241435
"SRRM2_INTRONS"	"Biological Process"	"negative regulation of protein refolding"	1.3184521875241435
"SRRM2_INTRONS"	"Biological Process"	"positive regulation of MHC class I biosynthetic process"	1.3184521875241435
