GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	comparison
VSIG10L	HsaEX0070719	chr19:51340015-51340299	285	chr19:51340433,51339664+51339672+51339685+51340015-51340299,51339142	S	HeLa_NLSTAF2dIDR_C	71.43	N	S1	TAF2dIDR
VSIG10L	HsaEX0070719	chr19:51340015-51340299	285	chr19:51340433,51339664+51339672+51339685+51340015-51340299,51339142	S	HeLa_TAF2	60	N	S1	TAF2dIDR
VSIG10L	HsaEX0070719	chr19:51340015-51340299	285	chr19:51340433,51339664+51339672+51339685+51340015-51340299,51339142	S	HeLa_TAF2_A	77.78	N	S1	TAF2dIDR
VSIG10L	HsaEX0070719	chr19:51340015-51340299	285	chr19:51340433,51339664+51339672+51339685+51340015-51340299,51339142	S	HeLa_TAF2_B	71.43	N	S1	TAF2dIDR
VSIG10L	HsaEX0070719	chr19:51340015-51340299	285	chr19:51340433,51339664+51339672+51339685+51340015-51340299,51339142	S	HeLa_TAF2_C	33.33	N	S1	TAF2dIDR
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_FRT	75.03	LOW	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_FRT_A	54.86	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_FRT_B	83.94	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_FRT_C	78.35	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_NLSTAF2dIDR	75	OK	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_NLSTAF2dIDR_A	73.1	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_NLSTAF2dIDR_B	80.49	VLOW	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_NLSTAF2dIDR_C	70.85	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_TAF2	55.43	OK	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_TAF2_A	56.43	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_TAF2_B	61.05	N	S1	TAF2
WDSUB1	HsaEX0071444	chr2:159271702-159271795	94	chr2:159275546,159271702-159271795,159256371+159256375	C3	HeLa_TAF2_C	48.72	N	S1	TAF2
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_FRT	100	VLOW	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_FRT_A	100	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_FRT_B	100	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_FRT_C	100	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_NLSTAF2dIDR	87.77	LOW	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_NLSTAF2dIDR_A	82.96	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_NLSTAF2dIDR_B	100	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_NLSTAF2dIDR_C	82.92	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_TAF2	100	VLOW	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_TAF2_A	100	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_TAF2_B	100	N	S1	TAF2dIDR
TPK1	HsaEX0066679	chr7:144648807-144648879	73	chr7:144682909,144648807-144648879,144623261	C2	HeLa_TAF2_C	100	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_FRT	17.16	OK	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_FRT_A	21.96	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_FRT_B	16.67	VLOW	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_FRT_C	12.5	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_NLSTAF2dIDR	30	VLOW	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_NLSTAF2dIDR_A	27.27	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_NLSTAF2dIDR_B	30	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_NLSTAF2dIDR_C	33.33	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_TAF2	33.33	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_TAF2_A	71.43	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_TAF2_B	27.27	N	S1	TAF2dIDR
LRRC8B	HsaEX0036702	chr1:89549915-89549971	57	chr1:89524587+89525022,89549915-89549971,89568247	C1	HeLa_TAF2_C	11.11	N	S1	TAF2dIDR
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_FRT	51.55	VLOW	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_FRT_A	69.3	N	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_FRT_B	41.38	N	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_FRT_C	43.34	N	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_NLSTAF2dIDR	19.65	OK	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_NLSTAF2dIDR_A	20.1	VLOW	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_NLSTAF2dIDR_B	21.76	VLOW	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_NLSTAF2dIDR_C	16.73	VLOW	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_TAF2	25.45	OK	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_TAF2_A	21.43	VLOW	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_TAF2_B	33.52	N	S1	BOTH
RPS6KL1	HsaEX0055666	chr14:74918513-74918605	93	chr14:74919845,74918513-74918605,74911835+74911841	C1	HeLa_TAF2_C	22.22	N	S1	BOTH
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_FRT	30.91	LOW	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_FRT_A	14.29	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_FRT_B	33.33	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_FRT_C	38.46	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_NLSTAF2dIDR	47.37	VLOW	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_NLSTAF2dIDR_A	52.94	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_NLSTAF2dIDR_B	16.67	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_NLSTAF2dIDR_C	77.78	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_TAF2	51.52	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_TAF2_A	33.33	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_TAF2_B	77.78	N	S1	TAF2dIDR
LINC01270	HsaEX0054588	chr20:50311614-50311706	93	chr20:50298413,50311555+50311614-50311706,50311805	C1	HeLa_TAF2_C	66.67	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_FRT	51.84	VLOW	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_FRT_A	33.33	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_FRT_B	55.76	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_FRT_C	64.85	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_NLSTAF2dIDR	44.83	VLOW	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_NLSTAF2dIDR_A	44.2	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_NLSTAF2dIDR_B	21.02	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_NLSTAF2dIDR_C	76.87	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_TAF2	62.2	VLOW	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_TAF2_A	55.1	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_TAF2_B	67.19	N	S1	TAF2dIDR
ZNF611	HsaEX1045307	chr19:52729906-52730005	100	chr19:52735001,52729906-52730005,52728831	C1	HeLa_TAF2_C	66.31	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_FRT	72.95	VLOW	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_FRT_A	100	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_FRT_B	100	VLOW	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_FRT_C	24.19	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_NLSTAF2dIDR	78.23	LOW	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_NLSTAF2dIDR_A	77.87	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_NLSTAF2dIDR_B	70.06	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_NLSTAF2dIDR_C	86.76	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_TAF2	74.24	VLOW	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_TAF2_A	100	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_TAF2_B	100	N	S1	TAF2dIDR
CCDC7	HsaEX0013420	chr10:32472481-32472542	62	chr10:32471230,32472481-32472542,32543300	C3	HeLa_TAF2_C	57.69	N	S1	TAF2dIDR
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_FRT	48.72	VLOW	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_FRT_A	38.46	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_FRT_B	50	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_FRT_C	57.14	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_NLSTAF2dIDR	58.62	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_NLSTAF2dIDR_A	66.67	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_NLSTAF2dIDR_B	50	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_NLSTAF2dIDR_C	55.56	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_TAF2	75.06	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_TAF2_A	69.37	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_TAF2_B	100	N	S1	TAF2
DYX1C1	HsaEX6074908	chr15:55450222-55450367	146	chr15:55466930,55450222-55450367,55439581	C1	HeLa_TAF2_C	60	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_FRT	65.12	VLOW	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_FRT_A	60	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_FRT_B	67.39	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_FRT_C	64.6	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_NLSTAF2dIDR	77.72	VLOW	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_NLSTAF2dIDR_A	69.97	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_NLSTAF2dIDR_B	62.26	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_NLSTAF2dIDR_C	100	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_TAF2	79.24	VLOW	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_TAF2_A	62.26	N	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_TAF2_B	88.64	VLOW	S1	TAF2
LINC01572	HsaEX1021140	chr16:72570451-72570515	65	chr16:72664892,72570435+72570451-72570515,72555326	C2	HeLa_TAF2_C	66.67	N	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_FRT	95.65	OK	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_FRT_A	100	N	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_FRT_B	100	VLOW	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_FRT_C	90.48	VLOW	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_NLSTAF2dIDR	78.18	OK	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_NLSTAF2dIDR_A	88.89	VLOW	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_NLSTAF2dIDR_B	76	VLOW	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_NLSTAF2dIDR_C	66.67	N	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_TAF2	71.43	VLOW	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_TAF2_A	77.78	N	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_TAF2_B	69.23	N	S1	TAF2
ANXA8L1	HsaEX1004023	chr10:46379885-46379975	91	chr10:46375872,46379885-46379975,46383456	C3	HeLa_TAF2_C	69.23	N	S1	TAF2
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_FRT	9.15	OK	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_FRT_A	20.12	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_FRT_B	0	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_FRT_C	5.8	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_NLSTAF2dIDR	30.37	VLOW	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_NLSTAF2dIDR_A	27.52	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_NLSTAF2dIDR_B	25.19	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_NLSTAF2dIDR_C	14.52	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_TAF2	17.91	LOW	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_TAF2_A	6.99	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_TAF2_B	38.11	N	S1	TAF2dIDR
CPS1	HsaEX1009710	chr2:210651163-210651333	171	chr2:210650901,210651163-210651333,210653737	C3	HeLa_TAF2_C	8.99	N	S1	TAF2dIDR
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_FRT	41.73	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_FRT_A	66.99	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_FRT_B	44.81	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_FRT_C	20.58	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_NLSTAF2dIDR	35.34	VLOW	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_NLSTAF2dIDR_A	33.5	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_NLSTAF2dIDR_B	45.6	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_NLSTAF2dIDR_C	28.87	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_TAF2	36.06	LOW	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_TAF2_A	40.18	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_TAF2_B	15.79	N	S1	TAF2
SPATA7	HsaEX6072434	chr14:88393393-88393488	96	chr14:88391758,88393393-88393488,88396156	C3	HeLa_TAF2_C	57.5	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_FRT	60.82	VLOW	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_FRT_A	67.52	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_FRT_B	48.53	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_FRT_C	62.06	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_NLSTAF2dIDR	65.7	OK	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_NLSTAF2dIDR_A	77.74	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_NLSTAF2dIDR_B	66.61	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_NLSTAF2dIDR_C	51.64	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_TAF2	74.24	VLOW	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_TAF2_A	73.48	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_TAF2_B	100	N	S1	TAF2
KCNN4	HsaEX0033081	chr19:43776541-43776636	96	chr19:43780703,43776541-43776636,43774619	S	HeLa_TAF2_C	37.13	N	S1	TAF2
FSD1L	HsaEX0026494	chr9:105539263-105539351	89	chr9:105535318,105539263-105539351,105546358	C1	HeLa_FRT	92.46	VLOW	S1	TAF2
FSD1L	HsaEX0026494	chr9:105539263-105539351	89	chr9:105535318,105539263-105539351,105546358	C1	HeLa_FRT_A	100	N	S1	TAF2
FSD1L	HsaEX0026494	chr9:105539263-105539351	89	chr9:105535318,105539263-105539351,105546358	C1	HeLa_FRT_B	83.83	N	S1	TAF2
FSD1L	HsaEX0026494	chr9:105539263-105539351	89	chr9:105535318,105539263-105539351,105546358	C1	HeLa_FRT_C	100	N	S1	TAF2
FSD1L	HsaEX0026494	chr9:105539263-105539351	89	chr9:105535318,105539263-105539351,105546358	C1	HeLa_NLSTAF2dIDR	79.04	LOW	S1	TAF2
