GENE	EVENT	AS_TYPE	dPSI_SRRM2_HeLa	direction_SRRM2_HeLa
ASAP1	HsaEX0006159	Exon	19.090000000000003	UP
GTF2H3	HsaINT0073290	Intron	19.07	UP
ABCB6	HsaINT0001039	Intron	19.060000000000002	UP
HHLA3	HsaALTD1042293-2/2	Alt. Donor	19.049999999999997	UP
ARHGEF10L	HsaEX0005590	Exon	19.049999999999997	UP
RP5-1198O20.4	HsaEX1035387	Exon	19.04	UP
DENND5B	HsaEX0019231	Exon	19.010000000000005	UP
RP11-783K16.5	HsaALTD1048103-2/4	Alt. Donor	19.000000000000004	UP
TBC1D17	HsaEX6096249	Exon	18.980000000000004	UP
NRF1	HsaALTA0005830-2/2	Alt. Acceptor	18.950000000000003	UP
PTPRS	HsaEX0051223	Exon	18.93	UP
DCAF1	HsaALTD1025497-3/3	Alt. Donor	18.92	UP
CEP57L1	HsaALTA0001336-1/2	Alt. Acceptor	18.89	UP
BEND6	HsaALTA1035711-1/2	Alt. Acceptor	18.89	UP
REPIN1	HsaALTA0007104-1/2	Alt. Acceptor	18.86	UP
FAM135A	HsaEX0023973	Exon	18.849999999999994	UP
COL12A1	HsaEX6048188	Exon	18.840000000000003	UP
ARRDC3	HsaEX0006056	Exon	18.83	UP
ERG	HsaEX0023045	Exon	18.799999999999997	UP
TCTN3	HsaEX0064293	Exon	18.799999999999997	UP
SENP7	HsaEX0057234	Exon	18.79	UP
ING4	HsaALTA0004298-1/2	Alt. Acceptor	18.78	UP
SMUG1	HsaALTA1021446-2/3	Alt. Acceptor	18.759999999999998	UP
NEURL4	HsaALTA0005691-3/3	Alt. Acceptor	18.75	UP
ANP32B	HsaALTA0000485-2/2	Alt. Acceptor	18.739999999999995	UP
NFX1	HsaALTA1007894-2/2	Alt. Acceptor	18.72	UP
HIVEP3	HsaEX6030327	Exon	18.72	UP
LINC00342	HsaEX1019843	Exon	18.700000000000003	UP
SERBP1	HsaALTD1024543-2/2	Alt. Donor	18.68	UP
FTH1	HsaALTD1034211-3/3	Alt. Donor	18.65	UP
STARD8	HsaEX1039241	Exon	18.64	UP
NDUFAF6	HsaINT0025145	Intron	18.62	UP
CPS1	HsaALTD0001641-1/2	Alt. Donor	18.61	UP
PRRT1	HsaALTD1052389-3/3	Alt. Donor	18.6	UP
UGGT2	HsaEX0069157	Exon	18.6	UP
FGGY	HsaEX0025711	Exon	18.599999999999994	UP
CMTR2	HsaALTD1038639-2/5	Alt. Donor	18.58999999999999	UP
PILRB	HsaALTA1064009-1/3	Alt. Acceptor	18.580000000000002	UP
TNFAIP1	HsaINT0169938	Intron	18.580000000000002	UP
BBS7	HsaINT0016940	Intron	18.57	UP
POLR1A	HsaEX0049039	Exon	18.569999999999993	UP
NEBL	HsaEX0042377	Exon	18.560000000000002	UP
SUGCT	HsaEX0011403	Exon	18.52	UP
STX11	HsaEX0062665	Exon	18.52	UP
CTH	HsaALTD1014433-3/4	Alt. Donor	18.519999999999996	UP
MARCH8	HsaEX0037895	Exon	18.489999999999995	UP
CHN1	HsaEX0015243	Exon	18.470000000000006	UP
ZNF213-AS1	HsaALTD1053766-2/4	Alt. Donor	18.460000000000008	UP
GUF1	HsaEX0029088	Exon	18.439999999999998	UP
FANCD2	HsaEX6054330	Exon	18.439999999999998	UP
CYB561D2	HsaALTA1063979-2/2	Alt. Acceptor	18.43	UP
KIAA1211	HsaEX0033955	Exon	18.37	UP
ZNF557	HsaALTA0009849-1/3	Alt. Acceptor	18.360000000000003	UP
TINAGL1	HsaINT0167267	Intron	18.349999999999998	UP
ADA	HsaINT0003426	Intron	18.32	UP
RSBN1L	HsaINT0143562	Intron	18.32	UP
CBX6	HsaALTA0001521-1/2	Alt. Acceptor	18.270000000000003	UP
PABPC1	HsaALTD0004534-1/5	Alt. Donor	18.26	UP
GUSBP11	HsaEX7010792	Exon	18.26	UP
AGPAT1	HsaINT1003186	Intron	18.259999999999998	UP
ZNF320	HsaEX0073411	Exon	18.250000000000007	UP
RAD9A	HsaINT0136748	Intron	18.230000000000004	UP
RHOT1	HsaALTA0007173-2/2	Alt. Acceptor	18.220000000000013	UP
SPATA5L1	HsaALTA0008158-2/2	Alt. Acceptor	18.22	UP
BCL6B	HsaINT0017237	Intron	18.21	UP
HDDC3	HsaINT0074754	Intron	18.21	UP
FANCL	HsaINT0061910	Intron	18.209999999999997	UP
HDAC7	HsaINT0074677	Intron	18.2	UP
ABHD16A	HsaEX0007689	Exon	18.180000000000007	UP
C1RL	HsaEX0010065	Exon	18.180000000000007	UP
NAV2	HsaEX0041759	Exon	18.180000000000007	UP
FCHSD1	HsaALTA1054439-3/3	Alt. Acceptor	18.18	UP
PRIMPOL	HsaEX0012910	Exon	18.17	UP
ATAD5	HsaALTA1047993-2/2	Alt. Acceptor	18.159999999999997	UP
ABI1	HsaALTA0000070-1/2	Alt. Acceptor	18.15	UP
CPSF4	HsaALTA0002137-2/2	Alt. Acceptor	18.15	UP
PTP4A1	HsaEX0050901	Exon	18.15	UP
USP21	HsaINT0178700	Intron	18.14	UP
GGCX	HsaEX0027392	Exon	18.13000000000001	UP
FAM13A	HsaEX0024006	Exon	18.130000000000003	UP
YARS2	HsaEX1044267	Exon	18.13	UP
TDRD9	HsaEX0064351	Exon	18.099999999999994	UP
HEATR6	HsaEX0029568	Exon	18.08	UP
HDAC4	HsaEX0029402	Exon	18.069999999999993	UP
WDFY1	HsaINT0181590	Intron	18.04	UP
PRMT2	HsaEX0050276	Exon	18	UP
MAN2C1	HsaEX1046611	Exon	17.980000000000004	UP
COL4A5	HsaEX0016561	Exon	17.970000000000002	UP
FLJ20021	HsaINT0064505	Intron	17.97	UP
ZNF420	HsaEX0073625	Exon	17.950000000000003	UP
KLHL35	HsaALTD1026793-2/2	Alt. Donor	17.93	UP
ASIC3	HsaINT0002375	Intron	17.92	UP
ANKRD29	HsaEX0004452	Exon	17.909999999999997	UP
BRAF	HsaEX0008354	Exon	17.879999999999995	UP
PLEKHA6	HsaEX0048274	Exon	17.86	UP
PI4K2A	HsaINT0124494	Intron	17.86	UP
DMXL2	HsaALTA0002547-1/2	Alt. Acceptor	17.85	UP
TRAF4	HsaALTA0008936-1/2	Alt. Acceptor	17.82	UP
RAB29	HsaALTD1052442-2/3	Alt. Donor	17.82	UP
ETHE1	HsaEX1013509	Exon	17.82	UP
ASTE1	HsaALTD0000522-2/3	Alt. Donor	17.799999999999997	UP
HBP1	HsaEX0029312	Exon	17.790000000000006	UP
ORMDL1	HsaEX0044848	Exon	17.789999999999992	UP
ARID1B	HsaEX0005757	Exon	17.78	UP
GPR107	HsaEX0028227	Exon	17.760000000000005	UP
KYAT1	HsaINT0028666	Intron	17.76	UP
LINC01667	HsaALTA1063110-1/2	Alt. Acceptor	17.75	UP
GCNT2	HsaEX0027249	Exon	17.75	UP
ANKRD29	HsaEX0004453	Exon	17.730000000000004	UP
YIF1B	HsaALTD0007272-1/4	Alt. Donor	17.720000000000002	UP
TMEM68	HsaALTD1053456-1/2	Alt. Donor	17.709999999999994	UP
ZNF487	HsaEX0073781	Exon	17.67	UP
GAB2	HsaEX0026739	Exon	17.659999999999997	UP
TINF2	HsaINT0167282	Intron	17.650000000000006	UP
STK19	HsaINT1043194	Intron	17.650000000000002	UP
FANCL	HsaEX0024836	Exon	17.63000000000001	UP
ELP6	HsaEX0010963	Exon	17.620000000000005	UP
TTC12	HsaEX0067746	Exon	17.620000000000005	UP
TPCN1	HsaEX0066630	Exon	17.61	UP
SCRN2	HsaINT0146145	Intron	17.599999999999998	UP
TMEM50B	HsaEX0065864	Exon	17.599999999999994	UP
ANKS6	HsaEX0004600	Exon	17.58	UP
RETSAT	HsaINT0139474	Intron	17.57	UP
SCGB3A2	HsaEX6100446	Exon	17.569999999999993	UP
GMFB	HsaALTA1053702-1/3	Alt. Acceptor	17.550000000000004	UP
PK4P	HsaEX0047798	Exon	17.53	UP
HPS4	HsaEX0030435	Exon	17.47999999999999	UP
MPPE1	HsaALTD1028443-1/2	Alt. Donor	17.46	UP
PHF20L1	HsaALTA1023640-4/5	Alt. Acceptor	17.419999999999998	UP
CASP8	HsaALTD0001163-1/4	Alt. Donor	17.410000000000004	UP
DGUOK	HsaEX0019479	Exon	17.410000000000004	UP
ATXN7L2	HsaINT0015860	Intron	17.41	UP
NEURL1	HsaALTD1011106-2/2	Alt. Donor	17.390000000000004	UP
PEX1	HsaEX0046621	Exon	17.39	UP
C19orf54	HsaALTA0001133-1/2	Alt. Acceptor	17.380000000000003	UP
ARHGAP27P1-BPTFP1-KPNA2P3	HsaEX1004490	Exon	17.349999999999994	UP
HERPUD2	HsaEX0029821	Exon	17.340000000000003	UP
RFT1	HsaEX0053206	Exon	17.340000000000003	UP
DMWD	HsaINT0049031	Intron	17.279999999999998	UP
BTBD3	HsaEX0008640	Exon	17.259999999999998	UP
ATXN2L	HsaINT0015796	Intron	17.259999999999998	UP
C9orf3	HsaEX0011648	Exon	17.25	UP
TCF25	HsaINT0164933	Intron	17.25	UP
RP4-758J18.2	HsaALTD1044896-1/2	Alt. Donor	17.239999999999995	UP
TET2	HsaEX0064529	Exon	17.21	UP
CCDC62	HsaALTA1024459-2/2	Alt. Acceptor	17.189999999999998	UP
ARL4A	HsaALTA0000645-2/2	Alt. Acceptor	17.180000000000007	UP
HECTD4	HsaALTA1046588-2/2	Alt. Acceptor	17.160000000000004	UP
SCMH1	HsaEX0056512	Exon	17.15	UP
ANKRD29	HsaEX0004451	Exon	17.14	UP
SLC25A20	HsaEX0059027	Exon	17.14	UP
DDX5	HsaEX0018967	Exon	17.13000000000001	UP
DMXL2	HsaEX0020054	Exon	17.11	UP
WRN	HsaEX0071618	Exon	17.11	UP
PCNX3	HsaALTA1053808-2/4	Alt. Acceptor	17.1	UP
ATAD5	HsaEX1004945	Exon	17.1	UP
GLCE	HsaEX0027585	Exon	17.089999999999996	UP
BPTF	HsaEX1005817	Exon	17.089999999999996	UP
RTKN	HsaINT0143809	Intron	17.05	UP
TRMT2B	HsaEX0067302	Exon	17.049999999999997	UP
ATF6B	HsaINT1004734	Intron	17.04	UP
ZNF397	HsaEX0073588	Exon	17	UP
PPP6R2	HsaALTA0007481-1/2	Alt. Acceptor	16.989999999999995	UP
LZTR1	HsaALTA0004905-2/2	Alt. Acceptor	16.97	UP
ELMOD3	HsaEX0022174	Exon	16.96	UP
PPFIBP1	HsaALTD0004971-2/2	Alt. Donor	16.939999999999998	UP
TULP4	HsaEX1042577	Exon	16.939999999999998	UP
PLAG1	HsaEX0048006	Exon	16.929999999999996	UP
ELFN1-AS1	HsaALTA1059020-2/6	Alt. Acceptor	16.91	UP
FAM114A1	HsaEX0023786	Exon	16.91	UP
ENOSF1	HsaEX0022478	Exon	16.909999999999997	UP
NEMF	HsaALTD1032764-1/2	Alt. Donor	16.870000000000005	UP
LAMA5	HsaEX0035271	Exon	16.870000000000005	UP
SP140L	HsaALTA1051250-2/2	Alt. Acceptor	16.86	UP
ZBTB25	HsaALTD1006373-1/3	Alt. Donor	16.86	UP
AGO4	HsaEX0021987	Exon	16.86	UP
ESPL1	HsaINT0058044	Intron	16.85	UP
ZDHHC14	HsaALTA0009655-1/2	Alt. Acceptor	16.84	UP
ACVR2A	HsaINT0003378	Intron	16.84	UP
ATR	HsaINT0015618	Intron	16.83	UP
BAG5	HsaINT0016360	Intron	16.83	UP
ZNF133	HsaEX0073026	Exon	16.82	UP
LAMA5	HsaINT0090349	Intron	16.799999999999997	UP
ZNF18	HsaALTA0009748-1/2	Alt. Acceptor	16.79	UP
TROAP	HsaINT0172911	Intron	16.79	UP
ZNF805	HsaEX0074387	Exon	16.77000000000001	UP
RECQL5	HsaALTA1014844-2/2	Alt. Acceptor	16.77	UP
ARHGEF9	HsaALTD0000450-3/3	Alt. Donor	16.77	UP
MUTYH	HsaINT0106976	Intron	16.740000000000002	UP
KIAA0586	HsaEX6071518	Exon	16.739999999999995	UP
DLG4	HsaALTA0002523-1/3	Alt. Acceptor	16.729999999999997	UP
ZNF691	HsaEX0074200	Exon	16.720000000000006	UP
FAM208B	HsaEX0008812	Exon	16.71	UP
CRTC3	HsaEX0017352	Exon	16.709999999999994	UP
MTA3	HsaALTA0005398-2/2	Alt. Acceptor	16.700000000000003	UP
SORT1	HsaALTA1026316-2/2	Alt. Acceptor	16.700000000000003	UP
HPS4	HsaINT0077446	Intron	16.689999999999998	UP
RP11-370I10.6	HsaALTA1061153-2/2	Alt. Acceptor	16.67	UP
CEP120	HsaALTD0001368-1/3	Alt. Donor	16.67	UP
HOXC11	HsaALTD1016358-1/3	Alt. Donor	16.67	UP
ALDH16A1	HsaEX0003582	Exon	16.67	UP
PRKAB2	HsaEX0050089	Exon	16.67	UP
SLC25A12	HsaEX0058974	Exon	16.67	UP
SLC43A1	HsaEX0059687	Exon	16.67	UP
WISP2	HsaEX0071539	Exon	16.67	UP
JAKMIP3	HsaEX6091159	Exon	16.67	UP
MECR	HsaINT0101322	Intron	16.67	UP
ZNF619	HsaINT1047586	Intron	16.67	UP
ZFAND4	HsaEX0004717	Exon	16.66	UP
CCDC103	HsaALTD0001185-1/2	Alt. Donor	16.659999999999997	UP
ENO3	HsaINT1012558	Intron	16.659999999999997	UP
GUCD1	HsaINT0023185	Intron	16.63	UP
SUPT4H1	HsaALTD1044205-1/5	Alt. Donor	16.620000000000005	UP
C17orf67	HsaALTD1044397-1/2	Alt. Donor	16.620000000000005	UP
ZNF189	HsaALTD1021716-3/4	Alt. Donor	16.61	UP
HUWE1	HsaALTA1007990-1/2	Alt. Acceptor	16.590000000000003	UP
C8orf58	HsaINT0025196	Intron	16.59	UP
KDM6A	HsaEX0033365	Exon	16.58	UP
PPP4R1L	HsaEX0049776	Exon	16.570000000000007	UP
DIS3L	HsaINT0048236	Intron	16.56	UP
DMTF1	HsaEX0020009	Exon	16.549999999999997	UP
KMT2E	HsaEX0039521	Exon	16.549999999999997	UP
SLX4	HsaALTA1052594-1/2	Alt. Acceptor	16.53	UP
P2RX6	HsaALTD0004525-2/5	Alt. Donor	16.53	UP
ANKS6	HsaALTA0000476-1/2	Alt. Acceptor	16.520000000000003	UP
RPL12	HsaALTA0007293-4/5	Alt. Acceptor	16.510000000000005	UP
ADGRG2	HsaEX1002871	Exon	16.49000000000001	UP
MCIDAS	HsaINT0094165	Intron	16.479999999999997	UP
FAM168B	HsaALTD1051148-2/10	Alt. Donor	16.47	UP
TRAIP	HsaEX0066855	Exon	16.47	UP
FKBP7	HsaEX0025861	Exon	16.439999999999998	UP
TRRAP	HsaALTA1053082-2/2	Alt. Acceptor	16.430000000000007	UP
FBRSL1	HsaALTD0002493-3/3	Alt. Donor	16.429999999999993	UP
TRAF4	HsaALTD0006748-1/3	Alt. Donor	16.42	UP
FANCA	HsaEX0024727	Exon	16.42	UP
NLK	HsaEX0043088	Exon	16.419999999999995	UP
MINK1	HsaALTA1031165-2/4	Alt. Acceptor	16.409999999999997	UP
ACSF2	HsaINT0002855	Intron	16.409999999999997	UP
ABCD4	HsaEX0000548	Exon	16.400000000000006	UP
CLCN7	HsaINT0036005	Intron	16.4	UP
ESPL1	HsaINT0058042	Intron	16.4	UP
C16orf74	HsaALTA1036480-4/4	Alt. Acceptor	16.379999999999995	UP
ATAD5	HsaALTA1047989-2/2	Alt. Acceptor	16.379999999999995	UP
PLK4	HsaALTD0004851-1/2	Alt. Donor	16.37	UP
MAB21L3	HsaALTD1036471-2/3	Alt. Donor	16.36	UP
GPATCH2	HsaEX0028109	Exon	16.36	UP
CNTLN	HsaEX0016089	Exon	16.35	UP
SIPA1L3	HsaEX0058418	Exon	16.349999999999994	UP
ZNF165	HsaINT0186286	Intron	16.330000000000002	UP
TMCO3	HsaEX0065299	Exon	16.319999999999993	UP
GNPDA2	HsaEX0027912	Exon	16.310000000000002	UP
PEAK1	HsaEX0001548	Exon	16.30000000000001	UP
PDE8B	HsaEX0046304	Exon	16.30000000000001	UP
UBR2	HsaEX6047250	Exon	16.289999999999992	UP
BCS1L	HsaALTD0000689-2/5	Alt. Donor	16.28	UP
SHPRH	HsaALTD1025955-1/2	Alt. Donor	16.28	UP
TMTC2	HsaEX0066103	Exon	16.260000000000005	UP
CNEP1R1	HsaINT0168804	Intron	16.25	UP
AGRN	HsaINT0005684	Intron	16.240000000000002	UP
STX16	HsaEX0062679	Exon	16.229999999999997	UP
PER1	HsaEX0046583	Exon	16.22999999999999	UP
XRCC4	HsaALTA0009576-2/2	Alt. Acceptor	16.22	UP
ERAP2	HsaEX0022927	Exon	16.22	UP
PHPT1	HsaALTA1003368-1/3	Alt. Acceptor	16.210000000000008	UP
RAD51D	HsaEX0051915	Exon	16.19	UP
PKP4	HsaEX0047797	Exon	16.159999999999997	UP
RP11-522I20.3	HsaALTD1047797-1/3	Alt. Donor	16.150000000000002	UP
DNAAF5	HsaEX0029497	Exon	16.14	UP
SEMA3C	HsaEX0057058	Exon	16.14	UP
C11orf49	HsaINT0019818	Intron	16.13	UP
EIF3CL	HsaALTA1056377-1/2	Alt. Acceptor	16.1	UP
KLHL24	HsaEX0034823	Exon	16.099999999999994	UP
ARL15	HsaEX0005857	Exon	16.09	UP
ZNF783	HsaEX0074363	Exon	16.089999999999996	UP
FAM193B	HsaEX0024341	Exon	16.05000000000001	UP
HGH1	HsaINT1015437	Intron	16.05	UP
NEBL	HsaEX0042368	Exon	16.03	UP
RIC8B	HsaEX0053570	Exon	16.020000000000003	UP
TTC31	HsaALTD0006878-2/2	Alt. Donor	16.02	UP
ZNF280D	HsaINT0186741	Intron	16.02	UP
SAMD8	HsaALTD0005654-2/2	Alt. Donor	16.009999999999998	UP
DHX29	HsaALTD1003433-2/2	Alt. Donor	16	UP
CES3	HsaALTD1036293-1/2	Alt. Donor	16	UP
ACAD10	HsaEX0001737	Exon	16	UP
ANKRD44	HsaEX0004504	Exon	16	UP
STARD4	HsaINT0160363	Intron	16	UP
SH2B2	HsaINT1041435	Intron	16	UP
PPM1N	HsaALTA1056769-2/5	Alt. Acceptor	15.98	UP
NR4A2	HsaEX0043725	Exon	15.979999999999997	UP
SRRM2	HsaINT0159179	Intron	15.959999999999999	UP
BANP	HsaALTD0000649-2/3	Alt. Donor	15.94	UP
STAC3	HsaINT0160112	Intron	15.93	UP
MLLT10	HsaALTA0005250-3/7	Alt. Acceptor	15.910000000000004	UP
GREB1L	HsaEX0028594	Exon	15.900000000000006	UP
FBXL5	HsaALTD1051189-3/3	Alt. Donor	15.89	UP
LTN1	HsaINT0097683	Intron	15.869999999999997	UP
DSN1	HsaEX0021024	Exon	15.86	UP
ZFX	HsaALTA1000499-1/2	Alt. Acceptor	15.840000000000003	UP
ZBTB44	HsaALTA1053038-3/3	Alt. Acceptor	15.840000000000003	UP
AK9	HsaEX1003254	Exon	15.84	UP
CHRNA5	HsaALTD0001435-3/3	Alt. Donor	15.829999999999998	UP
L3MBTL1	HsaINT0089925	Intron	15.82	UP
TMEM214	HsaINT0168967	Intron	15.82	UP
PTMA	HsaALTD0005155-6/9	Alt. Donor	15.819999999999999	UP
WDR19	HsaALTD0007172-1/2	Alt. Donor	15.810000000000002	UP
DCAF4	HsaINT1010650	Intron	15.809999999999999	UP
ARAP3	HsaALTD1015509-2/3	Alt. Donor	15.790000000000006	UP
ERMP1	HsaEX0023114	Exon	15.790000000000006	UP
SECISBP2	HsaALTA0007587-2/5	Alt. Acceptor	15.79	UP
ANKFY1	HsaINT0008235	Intron	15.78	UP
RINT1	HsaINT0140880	Intron	15.78	UP
POLQ	HsaEX0049014	Exon	15.769999999999996	UP
TAF6L	HsaINT0163528	Intron	15.769999999999996	UP
PTMA	HsaALTD0005154-1/7	Alt. Donor	15.759999999999998	UP
C1RL-AS1	HsaALTA1056443-2/5	Alt. Acceptor	15.75	UP
MAP4	HsaALTA0004964-2/3	Alt. Acceptor	15.719999999999992	UP
ZSWIM8	HsaALTA0004537-2/2	Alt. Acceptor	15.700000000000003	UP
ST7L	HsaALTA0008260-1/2	Alt. Acceptor	15.7	UP
ZYG11A	HsaEX0074652	Exon	15.690000000000005	UP
STRADB	HsaINT1043255	Intron	15.690000000000001	UP
CCT8	HsaEX1007664	Exon	15.68	UP
ZNF695	HsaALTD1054214-2/2	Alt. Donor	15.670000000000002	UP
PDIK1L	HsaALTD1037124-2/2	Alt. Donor	15.659999999999997	UP
CLHC1	HsaEX0010753	Exon	15.659999999999997	UP
ZNF37BP	HsaEX0073536	Exon	15.650000000000006	UP
AKAP7	HsaEX0003392	Exon	15.649999999999991	UP
PRPF39	HsaINT1028102	Intron	15.64	UP
PDE10A	HsaALTA1016782-1/2	Alt. Acceptor	15.620000000000005	UP
IQCG	HsaINT0081727	Intron	15.620000000000001	UP
DCAF5	HsaALTD1050917-1/2	Alt. Donor	15.62	UP
MTMR3	HsaEX0040616	Exon	15.61	UP
CASC3	HsaINT0027865	Intron	15.6	UP
SEPT6	HsaEX0057301	Exon	15.599999999999998	UP
ST5	HsaEX0062005	Exon	15.590000000000003	UP
ATG14	HsaINT0013901	Intron	15.59	UP
AP2A1	HsaINT0010040	Intron	15.579999999999998	UP
U2AF1L4	HsaALTA1064161-1/2	Alt. Acceptor	15.560000000000002	UP
KLHL21	HsaINT0088688	Intron	15.56	UP
TBC1D31	HsaALTA1037546-1/2	Alt. Acceptor	15.52	UP
CAMK1G	HsaINT0026999	Intron	15.52	UP
CTC-301O7.4	HsaALTA1054328-2/5	Alt. Acceptor	15.510000000000005	UP
FPGT	HsaALTD1054336-2/2	Alt. Donor	15.510000000000002	UP
CHRNA5	HsaINT1007686	Intron	15.489999999999998	UP
TGFBR3	HsaALTA0008602-1/2	Alt. Acceptor	15.489999999999995	UP
ZP3	HsaEX6008577	Exon	15.489999999999995	UP
COL15A1	HsaEX6062144	Exon	15.480000000000004	UP
PRPF4B	HsaALTA1016874-2/3	Alt. Acceptor	15.479999999999999	UP
KIF18B	HsaINT0087619	Intron	15.479999999999999	UP
GRIN2D	HsaALTA1013338-3/3	Alt. Acceptor	15.450000000000003	UP
ZCWPW1	HsaALTA1006719-2/2	Alt. Acceptor	15.430000000000007	UP
KIF14	HsaEX1018806	Exon	15.430000000000007	UP
TNS1	HsaEX6018444	Exon	15.430000000000007	UP
RP11-706O15.3	HsaALTD1046049-1/2	Alt. Donor	15.43	UP
TIMELESS	HsaALTA0008651-2/2	Alt. Acceptor	15.41000000000001	UP
BAG4	HsaEX0007545	Exon	15.409999999999997	UP
NAA16	HsaALTD0004149-1/2	Alt. Donor	15.399999999999991	UP
ZNF786	HsaEX0074364	Exon	15.390000000000004	UP
IVD	HsaINT0083446	Intron	15.389999999999997	UP
ARHGEF4	HsaINT0012093	Intron	15.380000000000003	UP
FPGS	HsaINT0065773	Intron	15.380000000000003	UP
RP11-849H4.2	HsaEX1034887	Exon	15.38	UP
TBC1D10B	HsaINT0163960	Intron	15.38	UP
THOC6	HsaINT0166857	Intron	15.38	UP
ACSS2	HsaEX0002119	Exon	15.379999999999995	UP
CASD1	HsaEX0012534	Exon	15.379999999999995	UP
CCDC150	HsaEX0013088	Exon	15.379999999999995	UP
GALNT18	HsaEX0026973	Exon	15.379999999999995	UP
ZMYND8	HsaINT0186131	Intron	15.370000000000001	UP
PRPF4B	HsaALTD0005078-1/3	Alt. Donor	15.340000000000003	UP
ELF1	HsaALTA1020423-1/2	Alt. Acceptor	15.339999999999996	UP
METAP1D	HsaINT0102108	Intron	15.33	UP
POLG2	HsaINT0129037	Intron	15.32	UP
IQSEC1	HsaEX0032160	Exon	15.319999999999993	UP
CCDC136	HsaALTD0001194-1/3	Alt. Donor	15.3	UP
AOC2	HsaINT1003895	Intron	15.290000000000001	UP
CCDC12	HsaALTD1030338-2/3	Alt. Donor	15.29	UP
LTBP4	HsaEX0036955	Exon	15.259999999999998	UP
RINT1	HsaALTA1026968-2/2	Alt. Acceptor	15.25	UP
FAM222A	HsaEX0009152	Exon	15.25	UP
SLC46A1	HsaINT1042100	Intron	15.240000000000002	UP
MPDZ	HsaEX0039904	Exon	15.229999999999997	UP
GEMIN7	HsaEX0027311	Exon	15.219999999999999	UP
EBLN3P	HsaALTD1049909-1/3	Alt. Donor	15.21	UP
STRADA	HsaALTD1054359-1/2	Alt. Donor	15.21	UP
NAXD	HsaEX0012466	Exon	15.199999999999996	UP
ELF1	HsaALTD1015612-2/2	Alt. Donor	15.189999999999998	UP
RECQL5	HsaEX0052986	Exon	15.180000000000007	UP
TTC12	HsaEX0067748	Exon	15.18	UP
NUDT7	HsaEX0044186	Exon	15.170000000000002	UP
TMEM161B	HsaEX0065542	Exon	15.170000000000002	UP
ACAP3	HsaINT0002290	Intron	15.17	UP
ZNF566	HsaALTA0009855-1/2	Alt. Acceptor	15.149999999999991	UP
CAPRIN2	HsaALTA0001466-2/3	Alt. Acceptor	15.14	UP
CWF19L1	HsaALTD1050889-1/5	Alt. Donor	15.14	UP
EXOC2	HsaEX0023449	Exon	15.14	UP
TSTD3	HsaEX0054301	Exon	15.14	UP
KIAA2026	HsaEX0034344	Exon	15.139999999999993	UP
PSMD8	HsaEX6094790	Exon	15.13000000000001	UP
LSM12	HsaALTD1030559-3/3	Alt. Donor	15.129999999999995	UP
NOTCH1	HsaINT0114825	Intron	15.12	UP
HDAC4	HsaALTA0003921-1/2	Alt. Acceptor	15.11	UP
PAN2	HsaALTD0004560-2/2	Alt. Donor	15.11	UP
PHYHD1	HsaEX0047268	Exon	15.11	UP
KIF14	HsaEX1018807	Exon	15.100000000000009	UP
VEPH1	HsaEX0070316	Exon	15.09	UP
ARL13B	HsaINT1004464	Intron	15.089999999999998	UP
HPS4	HsaEX0030432	Exon	15.089999999999996	UP
MSH5	HsaEX1024357	Exon	15.060000000000002	UP
SPIN3	HsaEX1038767	Exon	15.05	UP
MCMBP	HsaALTD0000776-1/2	Alt. Donor	15.030000000000001	UP
GRB10	HsaEX0028563	Exon	15.03	UP
EGFL8	HsaINT1048124	Intron	15.020000000000003	UP
AKT1S1	HsaALTD0000240-2/2	Alt. Donor	15.02	UP
TBRG1	HsaALTA0008500-1/2	Alt. Acceptor	15.019999999999996	UP
ARNT2	HsaEX0005998	Exon	15.019999999999996	UP
INPPL1	HsaEX0031828	Exon	-15.009999999999991	DOWN
APBB2	HsaEX0005074	Exon	-15.030000000000001	DOWN
NFAT5	HsaEX0042689	Exon	-15.049999999999997	DOWN
TACC1	HsaEX0063366	Exon	-15.080000000000005	DOWN
CEP70	HsaINT0033886	Intron	-15.09	DOWN
CHTF18	HsaINT0035315	Intron	-15.110000000000003	DOWN
IRF3	HsaEX0032226	Exon	-15.120000000000005	DOWN
IL4R	HsaEX0031504	Exon	-15.13000000000001	DOWN
AMDHD2	HsaEX0003922	Exon	-15.149999999999991	DOWN
NA	HsaEX1000205	Exon	-15.149999999999991	DOWN
USP46	HsaEX0069929	Exon	-15.15	DOWN
ARRDC3	HsaINT0012840	Intron	-15.180000000000001	DOWN
TTC13	HsaEX0067762	Exon	-15.239999999999995	DOWN
APAF1	HsaEX0005021	Exon	-15.25	DOWN
TBCEL	HsaEX0063998	Exon	-15.260000000000005	DOWN
HKR1	HsaEX0030089	Exon	-15.269999999999996	DOWN
CORO1B	HsaEX0016857	Exon	-15.290000000000006	DOWN
RBCK1	HsaEX0052560	Exon	-15.299999999999997	DOWN
EOGT	HsaEX0010946	Exon	-15.310000000000002	DOWN
DCUN1D2	HsaEX0018783	Exon	-15.310000000000002	DOWN
SPATA17	HsaEX0061220	Exon	-15.310000000000002	DOWN
DNHD1	HsaEX0020401	Exon	-15.329999999999998	DOWN
SEMA3B	HsaINT0147220	Intron	-15.330000000000002	DOWN
SHARPIN	HsaEX0058132	Exon	-15.349999999999994	DOWN
IKBKE	HsaEX0031258	Exon	-15.379999999999995	DOWN
