GENE	EVENT	AS_TYPE	dPSI_SRRM2_HepG2	direction_SRRM2_HepG2
TJP1	HsaEX0065036	Exon	21.909999999999997	UP
BTN2A2	HsaINT1005496	Intron	21.900000000000006	UP
OVOS2	HsaINT1025947	Intron	21.9	UP
SEC16A	HsaINT0146701	Intron	21.89	UP
CLOCK	HsaEX0015755	Exon	21.889999999999997	UP
ANKRD13D	HsaEX0004337	Exon	21.870000000000005	UP
RFC4	HsaALTD1031794-2/2	Alt. Donor	21.86	UP
CXorf23	HsaEX0018136	Exon	21.86	UP
ADAT2	HsaALTD1041188-1/2	Alt. Donor	21.85	UP
KIAA2013	HsaEX0034336	Exon	21.810000000000002	UP
SNX22	HsaEX0060840	Exon	21.81	UP
USF3	HsaINT0087338	Intron	21.79	UP
AGER	HsaALTD0000196-1/2	Alt. Donor	21.789999999999992	UP
CCDC150	HsaEX0013093	Exon	21.78	UP
OSBPL10	HsaEX6054875	Exon	21.769999999999996	UP
GUSBP11	HsaALTD1054282-1/2	Alt. Donor	21.75	UP
ERI2	HsaALTD1041755-1/3	Alt. Donor	21.74	UP
LYN	HsaALTD0003696-1/3	Alt. Donor	21.729999999999997	UP
DTWD1	HsaEX0021116	Exon	21.72999999999999	UP
KRBA1	HsaALTA0004639-1/2	Alt. Acceptor	21.71	UP
HNRNPA1	HsaALTD1051431-5/12	Alt. Donor	21.71	UP
TLX2	HsaINT0167766	Intron	21.71	UP
FKRP	HsaEX0025866	Exon	21.699999999999996	UP
MALAT1	HsaALTD1047580-3/5	Alt. Donor	21.690000000000005	UP
RP3-402G11.26	HsaINT1039356	Intron	21.67	UP
HPS1	HsaALTA0004096-1/2	Alt. Acceptor	21.64	UP
RBM26	HsaEX0052674	Exon	21.629999999999995	UP
EIF4B	HsaALTD0002176-1/2	Alt. Donor	21.590000000000003	UP
HPS1	HsaALTD0003110-2/2	Alt. Donor	21.590000000000003	UP
MKRN3	HsaALTD1038340-1/2	Alt. Donor	21.590000000000003	UP
PFKM	HsaEX0046752	Exon	21.58	UP
CCP110	HsaEX0001082	Exon	21.569999999999997	UP
WDR25	HsaEX0071008	Exon	21.569999999999993	UP
CCDC150	HsaEX0013090	Exon	21.529999999999998	UP
SPIN2B	HsaALTA0008176-1/2	Alt. Acceptor	21.52000000000001	UP
ITPR1	HsaEX0032557	Exon	21.520000000000003	UP
SPIN2B	HsaALTD1053240-5/6	Alt. Donor	21.509999999999998	UP
UBOX5	HsaEX0068916	Exon	21.500000000000007	UP
PTAR1	HsaALTA1052530-1/2	Alt. Acceptor	21.5	UP
AC132217.4	HsaALTA1059430-1/4	Alt. Acceptor	21.5	UP
CBLB	HsaALTD0001173-1/3	Alt. Donor	21.5	UP
ZNF497	HsaINT0187416	Intron	21.5	UP
SENP6	HsaEX0057212	Exon	21.490000000000002	UP
SEC31B	HsaALTA1063884-2/2	Alt. Acceptor	21.470000000000002	UP
SRSF11	HsaALTA1018981-2/2	Alt. Acceptor	21.47	UP
VSIG10	HsaALTD1037586-2/2	Alt. Donor	21.439999999999998	UP
PGAM1	HsaALTD1035632-2/3	Alt. Donor	21.43	UP
ING3	HsaALTA1005392-2/3	Alt. Acceptor	21.39	UP
FRYL	HsaEX0026476	Exon	21.38000000000001	UP
PRMT9	HsaEX0050267	Exon	21.38000000000001	UP
FLNB	HsaEX0025930	Exon	21.360000000000007	UP
SLC43A1	HsaEX0059684	Exon	21.349999999999994	UP
HOOK2	HsaALTD1006952-1/2	Alt. Donor	21.34	UP
C18orf32	HsaALTD1050488-2/2	Alt. Donor	21.29	UP
PRR7-AS1	HsaEX0054422	Exon	21.260000000000005	UP
RFC4	HsaALTA0007122-1/2	Alt. Acceptor	21.250000000000007	UP
PTP4A3	HsaEX0050909	Exon	21.24000000000001	UP
ZNF620	HsaEX0074073	Exon	21.23	UP
APC	HsaALTD0000395-1/2	Alt. Donor	21.22	UP
ZNF37A	HsaALTD0007437-2/2	Alt. Donor	21.22	UP
EGFR	HsaEX0021817	Exon	21.22	UP
RP1-27K12.2	HsaEX1031751	Exon	21.18	UP
OSBPL7	HsaALTA1000521-1/2	Alt. Acceptor	21.14999999999999	UP
SPIN1	HsaEX0061414	Exon	21.12	UP
TGDS	HsaALTD1053384-1/4	Alt. Donor	21.119999999999997	UP
NEK10	HsaEX0042491	Exon	21.10000000000001	UP
PORCN	HsaALTA1011664-4/4	Alt. Acceptor	21.090000000000003	UP
CD46	HsaEX0013872	Exon	21.090000000000003	UP
HSH2D	HsaALTA1053425-1/6	Alt. Acceptor	21.089999999999996	UP
INSR	HsaEX0031843	Exon	21.08	UP
RNF13	HsaEX0053881	Exon	21.08	UP
STAU2	HsaEX0062378	Exon	21.07	UP
KALRN	HsaEX6058081	Exon	21.059999999999995	UP
EDA2R	HsaEX0021547	Exon	21.039999999999992	UP
SENP7	HsaEX0057234	Exon	20.989999999999995	UP
PSME2	HsaALTA1010829-2/2	Alt. Acceptor	20.97	UP
FDPS	HsaALTD0002539-1/3	Alt. Donor	20.94	UP
NAB1	HsaALTA0005536-1/2	Alt. Acceptor	20.890000000000008	UP
CD99P1	HsaEX0042148	Exon	20.869999999999997	UP
FSD1L	HsaEX0026492	Exon	20.83	UP
ICA1L	HsaEX0030835	Exon	20.83	UP
SLC44A4	HsaEX6046359	Exon	20.810000000000002	UP
ASXL1	HsaEX0006387	Exon	20.799999999999997	UP
LINC00355	HsaEX0054973	Exon	20.790000000000006	UP
CXorf23	HsaEX0018135	Exon	20.78	UP
NME6	HsaEX0043160	Exon	20.779999999999994	UP
RP11-421L21.3	HsaEX0054787	Exon	20.759999999999998	UP
PTCHD4	HsaEX1029880	Exon	20.73	UP
PTPDC1	HsaEX1029973	Exon	20.71	UP
C17orf53	HsaEX0009764	Exon	20.709999999999994	UP
STX16	HsaEX0062679	Exon	20.689999999999998	UP
TRMT11	HsaEX0067290	Exon	20.680000000000007	UP
IL11RA	HsaINT1016391	Intron	20.68	UP
WHRN	HsaALTA1009437-2/2	Alt. Acceptor	20.67	UP
ECHDC2	HsaALTA1020686-1/2	Alt. Acceptor	20.660000000000004	UP
OMA1	HsaALTD0004496-2/3	Alt. Donor	20.61	UP
MAP3K4	HsaEX0037571	Exon	20.61	UP
WDR27	HsaALTA1050796-1/2	Alt. Acceptor	20.6	UP
USP46-AS1	HsaINT1046141	Intron	20.57	UP
RP11-204M4.4	HsaALTA1063293-2/2	Alt. Acceptor	20.56	UP
IFT88	HsaEX0031099	Exon	20.550000000000004	UP
SGK494	HsaALTA1064192-2/2	Alt. Acceptor	20.479999999999997	UP
WDR27	HsaALTA0009486-1/2	Alt. Acceptor	20.47	UP
THAP5	HsaALTD1037876-3/4	Alt. Donor	20.47	UP
TTTY15	HsaALTA1058731-1/3	Alt. Acceptor	20.46	UP
PTOV1-AS2	HsaINT1028452	Intron	20.450000000000003	UP
HSP90AB1	HsaALTA0004117-1/2	Alt. Acceptor	20.45	UP
ISY1	HsaALTA1064408-1/2	Alt. Acceptor	20.410000000000004	UP
WDFY3	HsaINT0181612	Intron	20.400000000000002	UP
SLC9A5	HsaEX0060046	Exon	20.4	UP
TPPP2	HsaINT0171438	Intron	20.39999999999999	UP
LINC00106	HsaALTD1046355-2/2	Alt. Donor	20.35	UP
AKAP13	HsaEX0003375	Exon	20.330000000000005	UP
C10orf35	HsaALTD1035605-2/2	Alt. Donor	20.3	UP
PSPH	HsaEX1029840	Exon	20.26	UP
RALGAPB	HsaALTD1035332-2/2	Alt. Donor	20.24	UP
PRR7-AS1	HsaINT1028144	Intron	20.239999999999995	UP
MAMSTR	HsaEX0037352	Exon	20.230000000000004	UP
PUS7L	HsaALTD1052428-1/3	Alt. Donor	20.22	UP
C4orf33	HsaEX0011038	Exon	20.180000000000007	UP
RAB36	HsaEX0051644	Exon	20.150000000000006	UP
DHX8	HsaALTA1004788-3/4	Alt. Acceptor	20.15	UP
ARHGAP27	HsaEX0057994	Exon	20.15	UP
ATP5F1	HsaALTA1018777-4/5	Alt. Acceptor	20.14	UP
RHEBL1	HsaEX0053494	Exon	20.120000000000005	UP
TM6SF2	HsaINT0167820	Intron	20.119999999999997	UP
ARMCX3	HsaALTA0000657-2/2	Alt. Acceptor	20.110000000000003	UP
GANC	HsaALTA1056810-2/4	Alt. Acceptor	20.11	UP
KIF13A	HsaEX0034393	Exon	20.11	UP
SCRN3	HsaALTD0005706-1/5	Alt. Donor	20.090000000000003	UP
RPL3	HsaALTD1007651-1/2	Alt. Donor	20.090000000000003	UP
RPS6KC1	HsaEX0055659	Exon	20.090000000000003	UP
IRAK4	HsaEX0032202	Exon	20.080000000000002	UP
PNCK	HsaINT0128388	Intron	20.07	UP
RSG1	HsaEX0010346	Exon	20.060000000000002	UP
CHEK2	HsaEX0015145	Exon	20.060000000000002	UP
ZBTB48	HsaALTD0007296-2/2	Alt. Donor	20.05	UP
ZNF326	HsaALTA1039896-2/4	Alt. Acceptor	20.02	UP
THAP6	HsaEX0064775	Exon	20.019999999999996	UP
NEO1	HsaALTA0005686-1/2	Alt. Acceptor	20	UP
HELB	HsaALTD1017577-1/2	Alt. Donor	20	UP
U91324.1	HsaALTD1045499-1/2	Alt. Donor	20	UP
HHAT	HsaEX0029912	Exon	20	UP
NUP62CL	HsaEX0044384	Exon	20	UP
ZFP82	HsaINT0185545	Intron	20	UP
TMEM9B-AS1	HsaINT1044621	Intron	20	UP
ANKRD10	HsaEX0004269	Exon	19.990000000000002	UP
DTWD1	HsaALTA0002671-3/3	Alt. Acceptor	19.980000000000004	UP
GANC	HsaEX0027005	Exon	19.950000000000003	UP
ARAP2	HsaALTA1002902-1/2	Alt. Acceptor	19.92	UP
L3MBTL1	HsaALTA1051298-2/3	Alt. Acceptor	19.91000000000001	UP
CCT6B	HsaEX0013729	Exon	19.910000000000004	UP
TEP1	HsaALTD1053375-1/5	Alt. Donor	19.900000000000002	UP
TMEM150B	HsaALTD1053426-1/3	Alt. Donor	19.870000000000005	UP
ISY1	HsaALTD1054301-2/2	Alt. Donor	19.869999999999997	UP
ZNF69	HsaALTA0009889-3/4	Alt. Acceptor	19.859999999999992	UP
SEC31A	HsaEX0056954	Exon	19.849999999999998	UP
ABCA5	HsaEX0000273	Exon	19.840000000000003	UP
NBPF9	HsaEX1025211	Exon	19.839999999999996	UP
DPF1	HsaALTA0002622-3/3	Alt. Acceptor	19.83	UP
HOGA1	HsaEX0019493	Exon	19.83	UP
EHMT1	HsaEX0021859	Exon	19.83	UP
FAM149B1	HsaALTD0002391-2/2	Alt. Donor	19.820000000000007	UP
CCDC15	HsaEX0013083	Exon	19.810000000000002	UP
EDA2R	HsaEX0021548	Exon	19.810000000000002	UP
SZT2	HsaALTA1054683-2/4	Alt. Acceptor	19.740000000000002	UP
LNPK	HsaEX0034247	Exon	19.740000000000002	UP
TMEM177	HsaEX0065601	Exon	19.739999999999995	UP
ZNF124	HsaALTA0009731-2/2	Alt. Acceptor	19.729999999999997	UP
KCP	HsaINT0084788	Intron	19.729999999999997	UP
STX16	HsaALTD0006290-2/4	Alt. Donor	19.720000000000002	UP
SNHG5	HsaALTA1055647-1/2	Alt. Acceptor	19.71	UP
CCDC126	HsaEX0012968	Exon	19.700000000000003	UP
INPP5E	HsaALTA0004310-2/2	Alt. Acceptor	19.659999999999997	UP
TRAPPC13	HsaEX0011181	Exon	19.659999999999997	UP
TRPC1	HsaEX0067368	Exon	19.620000000000005	UP
POLRMT	HsaEX0049135	Exon	19.609999999999992	UP
ZNF41	HsaALTD0007442-1/3	Alt. Donor	19.599999999999994	UP
MICU3	HsaEX0021724	Exon	19.599999999999994	UP
ZNF749	HsaEX0074295	Exon	19.599999999999994	UP
ADSSL1	HsaEX0002893	Exon	19.57	UP
STX16	HsaALTD0006290-1/4	Alt. Donor	19.560000000000002	UP
PIP5K1A	HsaALTD1024805-2/2	Alt. Donor	19.560000000000002	UP
POLL	HsaEX0048980	Exon	19.560000000000002	UP
DNAJC27	HsaEX0020342	Exon	19.510000000000005	UP
RHOT1	HsaALTA0007173-2/2	Alt. Acceptor	19.51	UP
PTMA	HsaALTA1052060-1/3	Alt. Acceptor	19.51	UP
CGGBP1	HsaALTD1050678-3/5	Alt. Donor	19.5	UP
TMEM241	HsaEX0009896	Exon	19.5	UP
RNF167	HsaALTA1014895-1/2	Alt. Acceptor	19.499999999999996	UP
ITSN2	HsaALTD1042796-2/2	Alt. Donor	19.49000000000001	UP
PSMA3-AS1	HsaINT0064562	Intron	19.480000000000004	UP
WDR90	HsaEX0071422	Exon	19.47999999999999	UP
CMTM3	HsaALTD0001492-1/3	Alt. Donor	19.46	UP
FAM13B	HsaEX0024017	Exon	19.46	UP
HIP1	HsaEX1016820	Exon	19.44	UP
STAU1	HsaALTA1021755-2/2	Alt. Acceptor	19.39	UP
GNE	HsaEX0027872	Exon	19.36	UP
SLC44A4	HsaEX6046358	Exon	19.36	UP
IGFLR1	HsaINT0168552	Intron	19.33	UP
DPY19L4	HsaEX0020923	Exon	19.320000000000007	UP
TEAD2	HsaALTD1053371-2/12	Alt. Donor	19.3	UP
DDIAS	HsaEX0009089	Exon	19.270000000000003	UP
SUSD1	HsaINT0162019	Intron	19.27	UP
ZNF7	HsaEX0074218	Exon	19.269999999999996	UP
MSH5	HsaEX0040302	Exon	19.260000000000005	UP
C17orf67	HsaALTD1044397-1/2	Alt. Donor	19.259999999999998	UP
ZNF211	HsaEX0073180	Exon	19.200000000000003	UP
L3MBTL1	HsaEX0035135	Exon	19.19	UP
PTPRD	HsaALTD1028053-2/2	Alt. Donor	19.180000000000003	UP
KIF12	HsaINT0087414	Intron	19.17	UP
DDX39B	HsaALTA0000891-2/2	Alt. Acceptor	19.160000000000004	UP
NA	HsaEX0056373	Exon	19.16	UP
RP11-588H23.3	HsaALTA1061226-1/3	Alt. Acceptor	19.159999999999997	UP
CASP10	HsaEX0012560	Exon	19.159999999999997	UP
OXNAD1	HsaEX1026787	Exon	19.130000000000003	UP
WFDC3	HsaALTA1021601-2/2	Alt. Acceptor	19.129999999999995	UP
BRPF1	HsaALTA0000995-2/2	Alt. Acceptor	19.120000000000005	UP
TULP3	HsaALTD1004908-1/3	Alt. Donor	19.12	UP
PACRGL	HsaEX0045171	Exon	19.11	UP
FIRRE	HsaEX0054866	Exon	19.11	UP
TIRAP	HsaEX0065021	Exon	19.11	UP
LSM12	HsaEX1022392	Exon	19.099999999999998	UP
AC002467.7	HsaALTD1046699-2/4	Alt. Donor	19.090000000000003	UP
ZNF26	HsaEX0073272	Exon	19.089999999999996	UP
LRRC23	HsaEX0036543	Exon	19.060000000000002	UP
SLC2A11	HsaEX1037368	Exon	19.060000000000002	UP
FES	HsaALTD1039044-1/2	Alt. Donor	19.05	UP
TNRC6C	HsaEX0001168	Exon	19.03	UP
SPOCK2	HsaINT0158123	Intron	19.03	UP
PTOV1-AS2	HsaEX1029962	Exon	18.979999999999997	UP
CDC42BPG	HsaALTA1045684-1/2	Alt. Acceptor	18.97	UP
TYMP	HsaALTD1001498-3/3	Alt. Donor	18.97	UP
CDKL3	HsaEX0014392	Exon	18.97	UP
LINC01473	HsaEX0001444	Exon	18.95	UP
COX7C	HsaALTD1050776-2/3	Alt. Donor	18.930000000000007	UP
L3HYPDH	HsaEX1019265	Exon	18.92	UP
QRICH2	HsaINT0135764	Intron	18.92	UP
AP4E1	HsaEX1004159	Exon	18.869999999999997	UP
C2orf42	HsaEX0010704	Exon	18.86999999999999	UP
RFC4	HsaALTA0007123-2/2	Alt. Acceptor	18.86	UP
CELSR1	HsaALTA1006065-1/4	Alt. Acceptor	18.86	UP
BAIAP2L2	HsaEX0007599	Exon	18.86	UP
CHRNA7	HsaEX1008771	Exon	18.86	UP
GHRLOS	HsaALTD1046615-1/2	Alt. Donor	18.85000000000001	UP
RP11-539L10.3	HsaALTA1060484-1/2	Alt. Acceptor	18.85	UP
PDIK1L	HsaEX0046377	Exon	18.85	UP
NA	HsaEX0055499	Exon	18.840000000000003	UP
SNX25	HsaEX0060860	Exon	18.840000000000003	UP
GIGYF1	HsaALTD1026060-1/2	Alt. Donor	18.83	UP
CEP350	HsaALTA1027410-5/5	Alt. Acceptor	18.799999999999997	UP
ZFP90	HsaALTD1039816-3/4	Alt. Donor	18.799999999999997	UP
ANKRD13B	HsaALTD0000322-2/2	Alt. Donor	18.790000000000006	UP
NCAPH2	HsaALTA0005586-2/3	Alt. Acceptor	18.779999999999987	UP
RP11-304L19.13	HsaEX1032901	Exon	18.76	UP
COPS8	HsaALTA1054994-2/2	Alt. Acceptor	18.759999999999998	UP
NOD1	HsaEX0043252	Exon	18.72	UP
EEF1B2	HsaALTD0002120-3/4	Alt. Donor	18.700000000000003	UP
ACAD10	HsaEX0001739	Exon	18.700000000000003	UP
MYO7A	HsaEX0041259	Exon	18.67	UP
MYO7A	HsaEX0041261	Exon	18.67	UP
ZNF283	HsaEX0073356	Exon	18.67	UP
HOGA1	HsaEX0019491	Exon	18.659999999999997	UP
CDC42BPA	HsaEX0014071	Exon	18.65	UP
ZNF250	HsaALTA0009771-2/3	Alt. Acceptor	18.64	UP
SLC2A11	HsaEX0059276	Exon	18.64	UP
SORBS2	HsaEX0060983	Exon	18.64	UP
SEC24C	HsaEX0056914	Exon	18.639999999999997	UP
TRMT2B	HsaALTD0006809-1/3	Alt. Donor	18.619999999999997	UP
OSR2	HsaALTA0005986-1/3	Alt. Acceptor	18.61	UP
ZNF778	HsaEX0074345	Exon	18.61	UP
HNRNPU	HsaEX0030309	Exon	18.599999999999994	UP
C9orf24	HsaALTD0001082-2/4	Alt. Donor	18.58	UP
ARF4	HsaALTA1044196-1/2	Alt. Acceptor	18.560000000000002	UP
MTMR11	HsaINT0106181	Intron	18.56	UP
MCF2L-AS1	HsaALTA1058916-1/2	Alt. Acceptor	18.54	UP
DGKQ	HsaALTD0001907-1/2	Alt. Donor	18.53	UP
HIST1H2AC	HsaALTD1038573-1/2	Alt. Donor	18.52	UP
CXorf23	HsaEX0018137	Exon	18.519999999999996	UP
FCF1	HsaALTD1015264-1/2	Alt. Donor	18.490000000000002	UP
POLI	HsaALTD1008542-1/6	Alt. Donor	18.459999999999994	UP
SLC13A5	HsaEX0058673	Exon	18.449999999999996	UP
PNCK	HsaINT0128390	Intron	18.439999999999998	UP
ZNF652	HsaINT0188003	Intron	18.43	UP
HSF2BP	HsaEX0030586	Exon	18.409999999999997	UP
KIF9-AS1	HsaEX0054850	Exon	18.39	UP
CEP290	HsaEX0014782	Exon	18.370000000000005	UP
SLC25A45	HsaALTD1030693-1/2	Alt. Donor	18.35000000000001	UP
ATP2B2	HsaINT0014819	Intron	18.35	UP
ZNF888	HsaEX1045572	Exon	18.339999999999996	UP
ATP2A1	HsaINT0014711	Intron	18.330000000000013	UP
TMPRSS3	HsaALTA0008826-1/2	Alt. Acceptor	18.33	UP
ACY3	HsaALTA1025581-2/2	Alt. Acceptor	18.33	UP
UBE3B	HsaALTD0006990-1/3	Alt. Donor	18.309999999999995	UP
ZMYM6	HsaINT0186068	Intron	18.25	UP
IGF2-AS	HsaALTA0004213-1/3	Alt. Acceptor	18.240000000000002	UP
FBXO43	HsaEX1014370	Exon	18.21	UP
XRCC5	HsaALTA1006839-1/2	Alt. Acceptor	18.18	UP
C16orf86	HsaINT0021211	Intron	18.18	UP
TMPRSS6	HsaALTA1051909-1/2	Alt. Acceptor	18.17	UP
MTMR11	HsaEX6033327	Exon	18.17	UP
PRRC2A	HsaALTA1055948-4/5	Alt. Acceptor	18.16	UP
LINC01138	HsaALTA1062780-1/2	Alt. Acceptor	18.159999999999997	UP
HIP1R	HsaALTA1024479-2/3	Alt. Acceptor	18.15	UP
HIP1R	HsaALTD1018874-3/3	Alt. Donor	18.15	UP
DENND1A	HsaEX0019089	Exon	18.130000000000003	UP
ZCCHC10	HsaEX0072305	Exon	18.13	UP
NMRK1	HsaEX0011773	Exon	18.11	UP
MTRF1	HsaALTD0004084-1/3	Alt. Donor	18.109999999999992	UP
RP3-326I13.1	HsaALTA1057474-2/2	Alt. Acceptor	18.1	UP
PHC3	HsaALTD1052263-1/6	Alt. Donor	18.099999999999994	UP
PLEKHG3	HsaALTD0004839-1/3	Alt. Donor	18.060000000000002	UP
ZSCAN21	HsaALTD1033353-2/2	Alt. Donor	18.06	UP
CYP39A1	HsaEX6047518	Exon	18.049999999999997	UP
TPM3	HsaALTA1032340-1/3	Alt. Acceptor	18.04	UP
C15orf52	HsaEX0009594	Exon	18.039999999999992	UP
ZNF611	HsaALTD0007477-2/3	Alt. Donor	18.020000000000003	UP
AGER	HsaINT1003173	Intron	18.009999999999998	UP
ANK1	HsaALTD0000306-3/3	Alt. Donor	18.00999999999999	UP
THNSL1	HsaALTD1040210-1/2	Alt. Donor	18	UP
RP11-268G12.3	HsaEX1032733	Exon	17.98	UP
MFSD11	HsaALTD1006858-1/2	Alt. Donor	17.950000000000003	UP
SOS1	HsaEX0061044	Exon	17.949999999999996	UP
SLC16A5	HsaALTD1035197-1/2	Alt. Donor	17.92	UP
EPO	HsaALTD1018608-2/2	Alt. Donor	17.909999999999997	UP
AGER	HsaEX0003069	Exon	17.89999999999999	UP
MYL5	HsaINT0108037	Intron	17.869999999999997	UP
ENOX2	HsaEX0022505	Exon	17.86	UP
ZNF433	HsaEX0073671	Exon	17.85	UP
ZBTB49	HsaINT0184680	Intron	17.82	UP
LRRC75A-AS1	HsaALTD1037109-2/2	Alt. Donor	17.810000000000002	UP
ARHGAP12	HsaEX0005405	Exon	17.800000000000004	UP
DUS4L	HsaALTD0002063-1/4	Alt. Donor	17.799999999999997	UP
ZNF783	HsaEX0074359	Exon	17.799999999999997	UP
ANP32A	HsaALTA1030390-1/2	Alt. Acceptor	17.790000000000006	UP
ZNF445	HsaEX0073709	Exon	17.77000000000001	UP
MZF1-AS1	HsaINT1024354	Intron	17.770000000000003	UP
FRY	HsaALTA1005829-2/2	Alt. Acceptor	17.769999999999996	UP
CSAD	HsaEX0017409	Exon	17.75	UP
CELSR3	HsaALTA1000909-1/4	Alt. Acceptor	17.749999999999993	UP
KLHL17	HsaALTA1052286-3/4	Alt. Acceptor	17.74	UP
ZNF554	HsaALTD1035946-1/2	Alt. Donor	17.739999999999995	UP
RP11-296I10.3	HsaINT1032817	Intron	17.700000000000003	UP
HMBOX1	HsaALTD0003059-3/3	Alt. Donor	17.67	UP
ABCC2	HsaINT0001227	Intron	17.659999999999997	UP
METTL12	HsaALTA1056958-1/3	Alt. Acceptor	17.650000000000006	UP
RP11-675F6.4	HsaEX1034442	Exon	17.65	UP
CPSF4L	HsaALTA1052282-2/2	Alt. Acceptor	17.64	UP
FAF2	HsaEX0023698	Exon	17.64	UP
STARD9	HsaEX0062307	Exon	17.629999999999995	UP
AC091729.9	HsaALTA1058114-1/2	Alt. Acceptor	17.619999999999997	UP
DST	HsaEX0021049	Exon	17.619999999999997	UP
ZNF708	HsaEX1045411	Exon	17.61	UP
ZNF783	HsaALTD0007513-4/4	Alt. Donor	17.6	UP
NRGN	HsaALTA0005833-2/3	Alt. Acceptor	17.590000000000003	UP
LGR5	HsaEX0035704	Exon	17.590000000000003	UP
ADAM11	HsaEX0002276	Exon	17.580000000000013	UP
GRB10	HsaEX0028562	Exon	17.58	UP
TNRC6A	HsaEX0066375	Exon	17.58	UP
IMMT	HsaALTA0004283-1/3	Alt. Acceptor	17.56	UP
PBLD	HsaEX0045725	Exon	17.540000000000006	UP
ZNF70	HsaALTD1053824-2/4	Alt. Donor	17.54	UP
SEC31B	HsaEX0056963	Exon	17.539999999999992	UP
PECAM1	HsaEX1027673	Exon	17.53	UP
GOLGB1	HsaEX0028002	Exon	17.529999999999994	UP
RPS5	HsaALTD1005496-1/5	Alt. Donor	17.509999999999998	UP
IRF5	HsaALTD0003314-2/2	Alt. Donor	17.5	UP
LINC02081	HsaEX1021692	Exon	17.5	UP
RSF1	HsaALTA1003029-3/7	Alt. Acceptor	17.490000000000002	UP
RPL7A	HsaALTD1026507-1/5	Alt. Donor	17.489999999999995	UP
CTD-2342J14.6	HsaALTA1062251-1/2	Alt. Acceptor	17.48	UP
ZNF213-AS1	HsaEX1044887	Exon	17.47	UP
KIAA0895	HsaEX0033814	Exon	17.450000000000003	UP
FNIP1	HsaEX0026177	Exon	17.44	UP
MROH2A	HsaINT1023453	Intron	17.44	UP
DCAF10	HsaEX0018594	Exon	17.410000000000004	UP
SCML2	HsaEX0056532	Exon	17.409999999999997	UP
ZNF17	HsaEX0073100	Exon	17.409999999999997	UP
MROH2A	HsaINT1023462	Intron	17.409999999999997	UP
PDE4A	HsaALTA1004481-1/3	Alt. Acceptor	17.39	UP
PRRT1	HsaALTD1052389-2/3	Alt. Donor	17.39	UP
TTPA	HsaEX0068253	Exon	17.39	UP
THAP8	HsaEX0064778	Exon	17.379999999999995	UP
TSC22D4	HsaALTA1043175-2/2	Alt. Acceptor	17.369999999999997	UP
RANBP6	HsaALTD1052460-1/2	Alt. Donor	17.36	UP
FAAH	HsaALTD1014711-1/3	Alt. Donor	17.35000000000001	UP
ZNF675	HsaEX1045372	Exon	17.35	UP
HID1	HsaALTA0001104-2/2	Alt. Acceptor	17.340000000000003	UP
KRIT1	HsaALTD0003520-1/2	Alt. Donor	17.34	UP
N4BP2	HsaINT0109467	Intron	17.33	UP
RAI1	HsaEX0052006	Exon	17.32	UP
DTX3	HsaALTA0002675-1/2	Alt. Acceptor	17.310000000000002	UP
PPM1N	HsaALTA0006594-2/2	Alt. Acceptor	17.310000000000002	UP
MIR193BHG	HsaALTD1048800-1/2	Alt. Donor	17.310000000000002	UP
SLC12A9-AS1	HsaALTD1053118-2/3	Alt. Donor	17.310000000000002	UP
PSMA3-AS1	HsaEX1029767	Exon	17.310000000000002	UP
RP11-320M2.1	HsaINT1033178	Intron	17.310000000000002	UP
METTL22	HsaEX0009687	Exon	17.300000000000004	UP
SEPT7	HsaALTA1021071-2/3	Alt. Acceptor	17.299999999999997	UP
ST3GAL5	HsaEX0061977	Exon	17.290000000000006	UP
SLC41A2	HsaALTD0006020-1/2	Alt. Donor	17.29	UP
TMEM251	HsaALTD1054073-1/2	Alt. Donor	17.29	UP
LINC01091	HsaALTA1060162-2/2	Alt. Acceptor	17.270000000000003	UP
FAM193B	HsaEX0024331	Exon	17.250000000000004	UP
ZNF554	HsaEX0073922	Exon	17.25	UP
KMT2C	HsaINT0103532	Intron	17.24	UP
ARHGAP40	HsaALTA1021638-2/2	Alt. Acceptor	17.239999999999995	UP
TRPC1	HsaEX0067369	Exon	17.239999999999995	UP
PGAP1	HsaEX0046779	Exon	17.220000000000013	UP
MCM9	HsaEX0038281	Exon	17.209999999999994	UP
ZFYVE27	HsaEX0072776	Exon	17.200000000000003	UP
BRF1	HsaEX0008457	Exon	17.189999999999998	UP
WAC-AS1	HsaINT1046502	Intron	17.189999999999998	UP
NA	HsaEX0054666	Exon	17.18	UP
ST3GAL6	HsaEX0061989	Exon	17.16000000000001	UP
RUNDC3B	HsaEX0055966	Exon	17.150000000000006	UP
ZNF100	HsaALTA0009728-1/2	Alt. Acceptor	17.15	UP
KIF9	HsaEX0034620	Exon	17.14	UP
ZNF107	HsaEX0073000	Exon	17.13000000000001	UP
DMPK	HsaEX0019990	Exon	17.129999999999995	UP
SUSD3	HsaEX0063001	Exon	17.129999999999995	UP
PPP1R12C	HsaALTA0006603-2/2	Alt. Acceptor	17.089999999999996	UP
EVI5	HsaEX0023363	Exon	17.080000000000005	UP
ZFP69	HsaALTA0009872-5/6	Alt. Acceptor	17.070000000000004	UP
CEP192	HsaEX0014753	Exon	17.060000000000002	UP
CAPN12	HsaALTA1049973-2/2	Alt. Acceptor	17.05	UP
TMEM74B	HsaALTA0001217-1/4	Alt. Acceptor	17.049999999999997	UP
